char,count,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p95_ms
F,1010,409453.8056,420953.7898,462521.605,-534172.8557,1307759.6327,-396303.6305,1169893.8203
H,1010,409681.0313,421182.2169,462521.6131,-533948.8157,1307992.4049,-396079.4034,1170121.8142
B,1010,409909.729,421409.3186,462521.53,-533718.4237,1308215.795,-395847.279,1170349.2296
U,1010,410136.4608,421637.3365,462521.6272,-533494.042,1308447.1705,-395624.2709,1170576.5288
R,1010,410364.6704,421864.4556,462521.661,-533262.1909,1308679.441,-395392.248,1170804.6165
G,1010,410591.9422,422092.3553,462521.6325,-533038.9134,1308902.3997,-395168.7434,1171031.9496
E,1010,410823.0277,422324.9156,462521.7594,-532807.0856,1309134.8846,-394937.0673,1171264.2996
N,4040,410476.9958,421864.5273,462395.8804,-534628.7935,1309358.6834,-396045.792,1170775.6518
L,1010,411274.4303,422775.1679,462521.5915,-532359.8593,1309590.4498,-394485.1521,1171715.2972
A,1010,411502.898,423003.617,462521.6517,-532128.1857,1309814.1561,-394257.913,1171944.2727
N,4040,410476.9958,421864.5273,462395.8804,-534628.7935,1309358.6834,-396045.792,1170775.6518
D,1010,410132.5483,422092.1004,462613.0131,-534404.0712,1307536.5788,-396535.085,1169666.6906
