seq,cycle,pos,char,t0_us,t0_expected_us,delta_us
0,0,0,F,20071706,20071706,0
1,0,1,H,20171707,20171706,1
2,0,2,B,20271709,20271706,3
3,0,3,U,20371710,20371706,4
4,0,4,R,20471710,20471706,4
5,0,5,G,20571711,20571706,5
6,0,6,E,20671711,20671706,5
7,0,7,N,20771712,20771706,6
8,0,8,L,20871713,20871706,7
9,0,9,A,20971714,20971706,8
10,0,10,N,21071715,21071706,9
11,0,11,D,21171717,21171706,11
12,1,0,F,21271840,21271840,0
13,1,1,H,21371841,21371840,1
14,1,2,B,21471842,21471840,2
15,1,3,U,21571842,21571840,2
16,1,4,R,21671844,21671840,4
17,1,5,G,21771845,21771840,5
18,1,6,E,21871846,21871840,6
19,1,7,N,21971847,21971840,7
20,1,8,L,22071847,22071840,7
21,1,9,A,22171848,22171840,8
22,1,10,N,22271864,22271840,24
23,1,11,D,22371865,22371840,25
24,2,0,F,22471866,22471866,0
25,2,1,H,22571867,22571866,1
26,2,2,B,22671869,22671866,3
27,2,3,U,22771870,22771866,4
28,2,4,R,22871870,22871866,4
29,2,5,G,22971872,22971866,6
30,2,6,E,23071873,23071866,7
31,2,7,N,23171874,23171866,8
32,2,8,L,23271889,23271866,23
33,2,9,A,23371889,23371866,23
34,2,10,N,23471890,23471866,24
35,2,11,D,23571891,23571866,25
36,3,0,F,23671892,23671892,0
37,3,1,H,23771894,23771892,2
38,3,2,B,23871895,23871892,3
39,3,3,U,23971897,23971892,5
40,3,4,R,24071898,24071892,6
41,3,5,G,24171898,24171892,6
42,3,6,E,24271899,24271892,7
43,3,7,N,24371900,24371892,8
44,3,8,L,24471900,24471892,8
45,3,9,A,24571901,24571892,9
46,3,10,N,24671902,24671892,10
47,3,11,D,24771903,24771892,11
48,4,0,F,24871904,24871904,0
49,4,1,H,24971904,24971904,0
50,4,2,B,25071905,25071904,1
51,4,3,U,25171906,25171904,2
52,4,4,R,25271907,25271904,3
53,4,5,G,25371908,25371904,4
54,4,6,E,25471909,25471904,5
55,4,7,N,25571911,25571904,7
56,4,8,L,25671913,25671904,9
57,4,9,A,25771914,25771904,10
58,4,10,N,25871915,25871904,11
59,4,11,D,25971915,25971904,11
60,5,0,F,26071917,26071917,0
61,5,1,H,26171918,26171917,1
62,5,2,B,26271920,26271917,3
63,5,3,U,26371921,26371917,4
64,5,4,R,26471922,26471917,5
65,5,5,G,26571924,26571917,7
66,5,6,E,26671924,26671917,7
67,5,7,N,26771926,26771917,9
68,5,8,L,26871928,26871917,11
69,5,9,A,26971929,26971917,12
70,5,10,N,27071930,27071917,13
71,5,11,D,27171932,27171917,15
72,6,0,F,27271934,27271934,0
73,6,1,H,27371935,27371934,1
74,6,2,B,27471937,27471934,3
75,6,3,U,27571938,27571934,4
76,6,4,R,27671939,27671934,5
77,6,5,G,27771940,27771934,6
78,6,6,E,27871941,27871934,7
79,6,7,N,27971942,27971934,8
80,6,8,L,28071943,28071934,9
81,6,9,A,28171944,28171934,10
82,6,10,N,28271945,28271934,11
83,6,11,D,28371946,28371934,12
84,7,0,F,28471948,28471948,0
85,7,1,H,28571950,28571948,2
86,7,2,B,28671950,28671948,2
87,7,3,U,28771951,28771948,3
88,7,4,R,28871952,28871948,4
89,7,5,G,28971952,28971948,4
90,7,6,E,29071953,29071948,5
91,7,7,N,29171954,29171948,6
92,7,8,L,29271955,29271948,7
93,7,9,A,29371956,29371948,8
94,7,10,N,29471958,29471948,10
95,7,11,D,29571959,29571948,11
96,8,0,F,29671960,29671960,0
97,8,1,H,29771962,29771960,2
98,8,2,B,29871963,29871960,3
99,8,3,U,29971964,29971960,4
100,8,4,R,30071965,30071960,5
101,8,5,G,30171966,30171960,6
102,8,6,E,30271968,30271960,8
103,8,7,N,30371969,30371960,9
104,8,8,L,30471969,30471960,9
105,8,9,A,30571969,30571960,9
106,8,10,N,30671971,30671960,11
107,8,11,D,30771972,30771960,12
108,9,0,F,30871973,30871973,0
109,9,1,H,30971974,30971973,1
110,9,2,B,31071975,31071973,2
111,9,3,U,31171975,31171973,2
112,9,4,R,31271977,31271973,4
113,9,5,G,31371977,31371973,4
114,9,6,E,31471978,31471973,5
115,9,7,N,31571979,31571973,6
116,9,8,L,31671979,31671973,6
117,9,9,A,31771980,31771973,7
118,9,10,N,31871981,31871973,8
119,9,11,D,31971982,31971973,9
120,10,0,F,32071982,32071982,0
121,10,1,H,32171983,32171982,1
122,10,2,B,32271985,32271982,3
123,10,3,U,32371986,32371982,4
124,10,4,R,32471987,32471982,5
125,10,5,G,32571987,32571982,5
126,10,6,E,32671989,32671982,7
127,10,7,N,32771989,32771982,7
128,10,8,L,32871991,32871982,9
129,10,9,A,32971992,32971982,10
130,10,10,N,33071993,33071982,11
131,10,11,D,33171994,33171982,12
132,11,0,F,33271996,33271996,0
133,11,1,H,33371997,33371996,1
