seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,valid,t_latency_ms,t_latency_ns_raw,t_latency_ns_drift
1711,142,7,N,1,191173762000,1640631350972,10238372,True,10.238372104370118,1449457588972,8141863
1711,142,7,N,1,191173762000,1640631350972,10238372,True,10.238372104370118,1449457588972,8141863
1927,160,7,N,1,212773967000,1662231253372,9733331,True,9.73333180822754,1449457286372,7636823
1927,160,7,N,1,212773967000,1662231253372,9733331,True,9.73333180822754,1449457286372,7636823
5311,442,7,N,1,551177268000,155973358701,15910540,True,15.910540629852296,-395203909299,17472717
5311,442,7,N,1,551177268000,155973358701,15910540,True,15.910540629852296,-395203909299,17472717
8995,749,7,N,1,919580851000,524378769301,14054355,True,14.054355759002686,-395202081699,15616532
8995,749,7,N,1,919580851000,524378769301,14054355,True,14.054355759002686,-395202081699,15616532
10015,834,7,N,1,1021581883000,626379654901,12888015,True,12.888015322418212,-395202228099,14450191
10015,834,7,N,1,1021581883000,626379654901,12888015,True,12.888015322418212,-395202228099,14450191
10795,899,7,N,1,1099582656000,704380207301,11887460,True,11.887460870941162,-395202448699,13449637
10795,899,7,N,1,1099582656000,704380207301,11887460,True,11.887460870941162,-395202448699,13449637
