char,count,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p95_ms
F,1039,-0.4883,-0.9441,3.2693,-8.1717,7.823,-5.4439,5.6799
H,1039,-0.8625,-0.1991,3.1207,-8.1534,8.2363,-5.9261,3.3867
B,1039,-0.2412,-0.8246,3.3542,-7.7852,8.5409,-5.3014,5.9624
U,1039,-0.8486,-0.1533,3.0759,-8.2264,7.8852,-5.9264,3.3773
R,1039,-0.5633,-1.0172,3.273,-8.0512,7.7527,-5.4907,5.6018
G,1039,-0.5423,0.0606,3.0893,-8.1887,8.5468,-5.6919,3.5025
E,1038,0.9358,0.0403,3.3867,-6.5924,8.4223,-4.2166,6.7093
N,4140,-0.4432,-0.6142,3.3032,-8.0774,9.5697,-5.7174,4.9995
L,1038,-1.3204,-1.4691,3.2091,-8.741,7.5451,-6.3879,5.1154
A,1038,-1.5022,-1.2191,3.1951,-8.9546,3.8298,-6.4894,3.1341
N,4140,-0.4432,-0.6142,3.3032,-8.0774,9.5697,-5.7174,4.9995
D,1038,0.718,1.1249,3.1338,-6.171,9.7766,-4.7781,4.9928
