row,serial_char,keylog_key
0,F,N
1,H,D
2,B,F
3,U,H
4,R,B
5,G,U
6,E,R
7,N,G
8,L,E
9,A,N
10,N,L
11,D,A
12,F,N
13,H,D
14,B,F
15,U,H
16,R,B
17,G,U
18,E,R
19,N,G
20,L,E
21,A,N
22,N,L
23,D,A
24,F,N
25,H,D
26,B,F
27,U,H
28,R,B
29,G,U
30,E,R
31,N,G
32,L,E
33,A,N
34,N,L
35,D,A
36,F,N
37,H,D
38,B,F
39,U,H
40,R,B
41,G,U
42,E,R
43,N,G
44,L,E
45,A,N
46,N,L
47,D,A
48,F,N
49,H,D
50,B,F
51,U,H
52,R,B
53,G,U
54,E,R
55,N,G
56,L,E
57,A,N
58,N,L
59,D,A
60,F,N
61,H,D
62,B,F
63,U,H
64,R,B
65,G,U
66,E,R
67,N,G
68,L,E
69,A,N
70,N,L
71,D,A
72,F,N
73,H,D
74,B,F
75,U,H
76,R,B
77,G,U
78,E,R
79,N,G
80,L,E
81,A,N
82,N,L
83,D,A
84,F,N
85,H,D
86,B,F
87,U,H
88,R,B
89,G,U
90,E,R
91,N,G
92,L,E
93,A,N
94,N,L
95,D,A
96,F,N
97,H,D
98,B,F
99,U,H
100,R,B
101,G,U
102,E,R
103,N,G
104,L,E
105,A,N
106,N,L
107,D,A
108,F,N
109,H,D
110,B,F
111,U,H
112,R,B
113,G,U
114,E,R
115,N,G
116,L,E
117,A,N
118,N,L
119,D,A
120,F,N
121,H,D
122,B,F
123,U,H
124,R,B
125,G,U
126,E,R
127,N,G
128,L,E
129,A,N
130,N,L
131,D,A
132,F,N
133,H,D
134,B,F
135,U,H
136,R,B
137,G,U
138,E,R
139,N,G
140,L,E
141,A,N
142,N,L
143,D,A
144,F,N
145,H,D
146,B,F
147,U,H
148,R,B
149,G,U
150,E,R
151,N,G
152,L,E
153,A,N
154,N,L
155,D,A
156,F,N
157,H,D
158,B,F
159,U,H
160,R,B
161,G,U
162,E,R
163,N,G
164,L,E
165,A,N
166,N,L
167,D,A
168,F,N
169,H,D
170,B,F
171,U,H
172,R,B
173,G,U
174,E,R
175,N,G
176,L,E
177,A,N
178,N,L
179,D,A
180,F,N
181,H,D
182,B,F
183,U,H
184,R,B
185,G,U
186,E,R
187,N,G
188,L,E
189,A,N
190,N,L
191,D,A
192,F,N
193,H,D
194,B,F
195,U,H
196,R,B
197,G,U
198,E,R
199,N,G
200,L,E
201,A,N
202,N,L
203,D,A
204,F,N
205,H,D
206,B,F
207,U,H
208,R,B
209,G,U
210,E,R
211,N,G
212,L,E
213,A,N
214,N,L
215,D,A
216,F,N
217,H,D
218,B,F
219,U,H
220,R,B
221,G,U
222,E,R
223,N,G
9418,N,D
9419,D,F
9420,F,H
9421,H,B
9422,B,U
9423,U,R
9424,R,G
9425,G,E
9426,E,N
9427,N,L
9428,L,A
9429,A,N
9430,N,D
9431,D,F
9432,F,H
9433,H,B
9434,B,U
9435,U,R
9436,R,G
9437,G,E
9438,E,N
9439,N,L
9440,L,A
9441,A,N
9442,N,D
9443,D,F
9444,F,H
9445,H,B
9446,B,U
9447,U,R
9448,R,G
9449,G,E
9450,E,N
9451,N,L
9452,L,A
9453,A,N
9454,N,D
9455,D,F
9456,F,H
9457,H,B
9458,B,U
9459,U,R
9460,R,G
9461,G,E
9462,E,N
9463,N,L
9464,L,A
9465,A,N
9466,N,D
9467,D,F
9468,F,H
9469,H,B
9470,B,U
9471,U,R
9472,R,G
9473,G,E
9474,E,N
9475,N,L
9476,L,A
9477,A,N
9478,N,D
9479,D,F
9480,F,H
9481,H,B
9482,B,U
9483,U,R
9484,R,G
9485,G,E
9486,E,N
9487,N,L
9488,L,A
9489,A,N
9490,N,D
9491,D,F
9492,F,H
9493,H,B
9494,B,U
9495,U,R
9496,R,G
9497,G,E
9498,E,N
9499,N,L
9500,L,A
9501,A,N
9502,N,D
9503,D,F
9504,F,H
9505,H,B
9506,B,U
9507,U,R
9508,R,G
9509,G,E
9510,E,N
9511,N,L
9512,L,A
9513,A,N
9514,N,D
9515,D,F
9516,F,H
9517,H,B
9518,B,U
9519,U,R
9520,R,G
9521,G,E
9522,E,N
9523,N,L
9524,L,A
9525,A,N
9526,N,D
9527,D,F
9528,F,H
9529,H,B
9530,B,U
9531,U,R
9532,R,G
9533,G,E
9534,E,N
9535,N,L
9536,L,A
9537,A,N
9538,N,D
9539,D,F
9540,F,H
9541,H,B
9542,B,U
9543,U,R
9544,R,G
9545,G,E
9546,E,N
9547,N,L
9548,L,A
9549,A,N
9550,N,D
9551,D,F
9552,F,H
9553,H,B
9554,B,U
9555,U,R
9556,R,G
9557,G,E
9558,E,N
9559,N,L
9560,L,A
9561,A,N
9562,N,D
9563,D,F
9564,F,H
9565,H,B
9566,B,U
9567,U,R
9568,R,G
9569,G,E
9570,E,N
9571,N,L
9572,L,A
9573,A,N
9574,N,D
9575,D,F
9576,F,H
9577,H,B
9578,B,U
9579,U,R
9580,R,G
9581,G,E
9582,E,N
9583,N,L
9584,L,A
9585,A,N
9586,N,D
9587,D,F
9588,F,H
9589,H,B
9590,B,U
9591,U,R
9592,R,G
9593,G,E
9594,E,N
9595,N,L
9596,L,A
9597,A,N
9598,N,D
9599,D,F
9600,F,H
9601,H,B
9602,B,U
9603,U,R
9604,R,G
9605,G,E
9606,E,N
9607,N,L
9608,L,A
9609,A,N
9610,N,D
9611,D,F
9612,F,H
9613,H,B
9614,B,U
9615,U,R
9616,R,G
9617,G,E
9618,E,N
9619,N,L
9620,L,A
9621,A,N
9622,N,D
9623,D,F
9624,F,H
9625,H,B
9626,B,U
9627,U,R
9628,R,G
9629,G,E
9630,E,N
9631,N,L
9632,L,A
9633,A,N
9634,N,D
9635,D,F
9636,F,H
9637,H,B
9638,B,U
9639,U,R
9640,R,G
9641,G,E
9642,E,N
9643,N,L
9644,L,A
9645,A,N
9646,N,D
9647,D,F
9648,F,H
9649,H,B
9650,B,U
9651,U,R
9652,R,G
9653,G,E
9654,E,N
9655,N,L
9656,L,A
9657,A,N
9658,N,D
9659,D,F
9660,F,H
9661,H,B
9662,B,U
9663,U,R
9664,R,G
9665,G,E
9666,E,N
9667,N,L
9668,L,A
9669,A,N
9670,N,D
9671,D,F
9672,F,H
9673,H,B
9674,B,U
9675,U,R
9676,R,G
9677,G,E
9678,E,N
9679,N,L
9680,L,A
9681,A,N
9682,N,D
9683,D,F
9684,F,H
9685,H,B
9686,B,U
9687,U,R
9688,R,G
9689,G,E
9690,E,N
9691,N,L
9692,L,A
9693,A,N
9694,N,D
9695,D,F
9696,F,H
9697,H,B
9698,B,U
9699,U,R
9700,R,G
9701,G,E
9702,E,N
9703,N,L
9704,L,A
9705,A,N
9706,N,D
9707,D,F
9708,F,H
9709,H,B
9710,B,U
9711,U,R
9712,R,G
9713,G,E
9714,E,N
9715,N,L
9716,L,A
9717,A,N
9718,N,D
9719,D,F
9720,F,H
9721,H,B
9722,B,U
9723,U,R
9724,R,G
9725,G,E
9726,E,N
9727,N,L
9728,L,A
9729,A,N
9730,N,D
9731,D,F
9732,F,H
9733,H,B
9734,B,U
9735,U,R
9736,R,G
9737,G,E
9738,E,N
9739,N,L
9740,L,A
9741,A,N
9742,N,D
9743,D,F
9744,F,H
9745,H,B
9746,B,U
9747,U,R
9748,R,G
9749,G,E
9750,E,N
9751,N,L
9752,L,A
9753,A,N
9754,N,D
9755,D,F
9756,F,H
9757,H,B
9758,B,U
9759,U,R
9760,R,G
9761,G,E
9762,E,N
9763,N,L
9764,L,A
9765,A,N
9766,N,D
9767,D,F
9768,F,H
9769,H,B
9770,B,U
9771,U,R
9772,R,G
9773,G,E
9774,E,N
9775,N,L
9776,L,A
9777,A,N
9778,N,D
9779,D,F
9780,F,H
9781,H,B
9782,B,U
9783,U,R
9784,R,G
9785,G,E
9786,E,N
9787,N,L
9788,L,A
9789,A,N
9790,N,D
9791,D,F
9792,F,H
9793,H,B
9794,B,U
9795,U,R
9796,R,G
9797,G,E
9798,E,N
9799,N,L
9800,L,A
9801,A,N
9802,N,D
9803,D,F
9804,F,H
9805,H,B
9806,B,U
9807,U,R
9808,R,G
9809,G,E
9810,E,N
9811,N,L
9812,L,A
9813,A,N
9814,N,D
9815,D,F
9816,F,H
9817,H,B
9818,B,U
9819,U,R
9820,R,G
9821,G,E
9822,E,N
9823,N,L
9824,L,A
9825,A,N
9826,N,D
9827,D,F
9828,F,H
9829,H,B
9830,B,U
9831,U,R
9832,R,G
9833,G,E
9834,E,N
9835,N,L
9836,L,A
9837,A,N
9838,N,D
9839,D,F
9840,F,H
9841,H,B
9842,B,U
9843,U,R
9844,R,G
9845,G,E
9846,E,N
9847,N,L
9848,L,A
9849,A,N
9850,N,D
9851,D,F
9852,F,H
9853,H,B
9854,B,U
9855,U,R
9856,R,G
9857,G,E
9858,E,N
9859,N,L
9860,L,A
9861,A,N
9862,N,D
9863,D,F
9864,F,H
9865,H,B
9866,B,U
9867,U,R
9868,R,G
9869,G,E
9870,E,N
9871,N,L
9872,L,A
9873,A,N
9874,N,D
9875,D,F
9876,F,H
9877,H,B
9878,B,U
9879,U,R
9880,R,G
9881,G,E
9882,E,N
9883,N,L
9884,L,A
9885,A,N
9886,N,D
9887,D,F
9888,F,H
9889,H,B
9890,B,U
9891,U,R
9892,R,G
9893,G,E
9894,E,N
9895,N,L
9896,L,A
9897,A,N
9898,N,D
9899,D,F
9900,F,H
9901,H,B
9902,B,U
9903,U,R
9904,R,G
9905,G,E
9906,E,N
9907,N,L
9908,L,A
9909,A,N
9910,N,D
9911,D,F
9912,F,H
9913,H,B
9914,B,U
9915,U,R
9916,R,G
9917,G,E
9918,E,N
9919,N,L
9920,L,A
9921,A,N
9922,N,D
9923,D,F
9924,F,H
9925,H,B
9926,B,U
9927,U,R
9928,R,G
