seq,cycle,pos,char,t_latency_ms
9421,785,1,H,952.69204314888
9422,785,2,B,852.8304776928253
9423,785,3,U,752.8897122367706
9424,785,4,R,652.9820467807159
9425,785,5,G,553.0790813246613
9426,785,6,E,453.17111586863706
9427,785,7,N,353.3028504125824
9428,785,8,L,253.3920849565277
9429,785,9,A,153.48791950047303
2316,193,0,F,25.50680839326477
4732,394,4,R,25.021266573349
348,29,0,F,22.96197673522949
6926,577,2,B,22.90905599684143
13208,1100,8,L,21.866461082656862
5222,435,2,B,20.59469310823059
12366,1030,6,E,18.299375077835084
5908,492,4,R,17.841190257034302
1367,113,11,D,15.867326185928345
11227,935,7,N,14.862929520248413
3638,303,2,B,14.830175493453979
