seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,t_latency_ms,valid,t_latency_ns_raw,t_latency_ns_drift
348,29,0,F,11,54871788000,1755473342830,22961976,22.96197673522949,True,1700601554830,23355206
1367,113,11,D,5,156772799000,12694612759,15867326,15.867326185928345,True,-144078186241,15895720
2316,193,0,F,11,251673742000,107605542059,25506808,25.50680839326477,True,-144068199941,25535202
9421,785,1,H,13,962180746000,819042327859,952692043,952.69204314888,True,-143138418141,952720437
9422,785,2,B,4,962280747000,819042467659,852830477,852.8304776928253,True,-143238279341,852858872
9423,785,3,U,15,962380748000,819042528259,752889712,752.8897122367706,True,-143338219741,752918106
9424,785,4,R,14,962480749000,819042621959,652982046,652.9820467807159,True,-143438127041,653010441
9425,785,5,G,10,962580750000,819042720359,553079081,553.0790813246613,True,-143538029641,553107475
9426,785,6,E,12,962680751000,819042813759,453171115,453.17111586863706,True,-143637937241,453199510
9427,785,7,N,1,962780751000,819042945859,353302850,353.3028504125824,True,-143737805141,353331244
9428,785,8,L,2,962880752000,819043036459,253392084,253.3920849565277,True,-143837715541,253420479
9429,785,9,A,0,962980753000,819043133659,153487919,153.48791950047303,True,-143937619341,153516313
