pos,char,count,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p95_ms
0,F,1245,-0.0171,-0.2522,2.6702,-7.0839,5.6642,-4.2934,4.1068
1,H,1246,-0.541,-0.6014,2.9622,-6.9731,6.6131,-5.4388,5.1598
2,B,1246,0.9109,1.3076,3.2212,-6.5844,22.9091,-3.8959,5.7394
3,U,1246,-0.5949,-0.6495,2.9376,-6.8153,13.7369,-5.3703,5.153
4,R,1246,0.1335,-0.1374,2.9143,-6.9221,25.0213,-4.3209,4.427
5,G,1246,-0.1991,-0.2612,2.9909,-6.6718,6.8431,-5.2077,5.3868
6,E,1245,1.2307,1.594,2.7548,-4.6842,18.2994,-3.1721,5.3738
7,N,1245,-0.1771,-0.2227,3.1543,-6.8637,14.8629,-5.3473,5.6586
8,L,1246,-0.6461,-0.8756,2.8912,-8.392,21.8665,-5.1141,3.6005
9,A,1246,-1.3246,-1.268,2.8182,-7.322,7.1647,-5.8898,3.1124
10,N,1246,-0.0746,-0.317,2.6803,-7.0633,5.5078,-4.3468,4.0124
11,D,1246,1.2383,1.1536,3.0896,-5.8281,7.7404,-4.3079,6.2894
