char,count,mean_ms,median_ms,std_ms,offset_vs_gt,min_ms,max_ms
F,1004,73.674,72.023,4.505,43.674,63.616,96.328
H,1004,102.876,103.962,6.725,72.876,55.931,120.14
B,1003,118.319,119.197,4.41,88.319,103.755,128.291
U,1003,108.552,111.78,5.01,78.552,88.008,120.358
R,1003,116.147,119.547,4.488,86.147,102.98,128.113
G,1003,107.799,111.656,5.522,77.799,88.199,127.99
E,1003,103.377,103.937,6.142,73.377,86.962,120.248
N,2006,57.981,56.027,6.374,27.981,39.757,72.221
L,1003,57.137,56.008,4.326,27.137,47.706,64.379
A,1003,45.056,47.931,4.481,15.056,39.446,56.258
D,1003,109.484,111.884,4.176,79.484,95.92,120.282
