char,count,mean_ms,median_ms,std_ms,offset_vs_gt,min_ms,max_ms
F,1003,98.462,96.036,4.152,-1.538,87.71,104.783
H,1004,99.64,96.196,4.107,-0.36,87.589,104.389
B,1003,101.377,103.968,3.993,1.377,95.548,113.077
U,1003,98.517,96.04,4.359,-1.483,79.979,104.46
R,1003,100.553,103.88,4.003,0.553,95.578,105.48
G,1003,99.909,102.872,4.058,-0.091,86.98,104.436
E,1003,101.379,103.958,4.486,1.379,95.608,119.796
N,2006,99.868,97.081,4.593,-0.132,80.2,139.728
L,1003,99.212,96.165,4.502,-0.788,79.986,104.361
A,1003,99.524,96.161,4.042,-0.476,87.766,104.382
D,1003,101.766,103.969,4.384,1.766,95.641,112.302
