event_idx,char,from_char,feature,measured_ms,expected_ms,deviation_ms
0,F,,dwell_time_ms,96.3283,30,66.3283
1,H,F,flight_time_ms,104.195,100,4.194999999999993
2,B,H,flight_time_ms,95.7666,100,-4.233400000000003
3,H,,dwell_time_ms,112.1307,30,82.1307
4,U,B,flight_time_ms,104.2594,100,4.259399999999999
5,B,,dwell_time_ms,120.309,30,90.309
6,R,U,flight_time_ms,95.9507,100,-4.049300000000002
7,U,,dwell_time_ms,112.0531,30,82.0531
8,G,R,flight_time_ms,104.0733,100,4.073300000000003
9,R,,dwell_time_ms,128.0155,30,98.0155
10,G,,dwell_time_ms,104.0013,30,74.0013
11,E,G,flight_time_ms,105.1933,100,5.193299999999994
12,E,,dwell_time_ms,94.7938,30,64.7938
13,N,E,flight_time_ms,95.7118,100,-4.288200000000003
14,N,,dwell_time_ms,54.7845,30,24.7845
15,L,N,flight_time_ms,103.0286,100,3.0285999999999973
16,L,,dwell_time_ms,47.9865,30,17.9865
17,A,L,flight_time_ms,96.0919,100,-3.9081000000000046
18,A,,dwell_time_ms,47.9473,30,17.9473
19,N,A,flight_time_ms,103.9614,100,3.9613999999999976
20,N,,dwell_time_ms,40.0384,30,10.038400000000003
21,D,N,flight_time_ms,96.0365,100,-3.9634999999999962
22,F,D,flight_time_ms,103.9147,100,3.9146999999999963
23,D,,dwell_time_ms,111.9303,30,81.9303
24,F,,dwell_time_ms,64.0142,30,34.0142
25,H,F,flight_time_ms,96.0258,100,-3.974199999999996
26,H,,dwell_time_ms,96.1595,30,66.1595
27,B,H,flight_time_ms,104.0105,100,4.010499999999993
28,U,B,flight_time_ms,96.0399,100,-3.960099999999997
29,B,,dwell_time_ms,120.0522,30,90.0522
30,U,,dwell_time_ms,96.0758,30,66.0758
31,R,U,flight_time_ms,103.9906,100,3.9906000000000006
32,G,R,flight_time_ms,96.0133,100,-3.986699999999999
33,R,,dwell_time_ms,112.0104,30,82.0104
34,G,,dwell_time_ms,103.9894,30,73.9894
35,E,G,flight_time_ms,104.8896,100,4.8896000000000015
36,N,E,flight_time_ms,95.0905,100,-4.909499999999994
37,E,,dwell_time_ms,103.0536,30,73.0536
38,N,,dwell_time_ms,55.9552,30,25.955199999999998
39,L,N,flight_time_ms,95.9882,100,-4.011799999999994
40,L,,dwell_time_ms,64.0341,30,34.034099999999995
41,A,L,flight_time_ms,104.0132,100,4.013199999999998
42,A,,dwell_time_ms,47.7747,30,17.774700000000003
43,N,A,flight_time_ms,96.036,100,-3.9639999999999986
44,N,,dwell_time_ms,55.9461,30,25.9461
45,D,N,flight_time_ms,111.9618,100,11.961799999999997
46,F,D,flight_time_ms,88.0081,100,-11.991900000000001
47,D,,dwell_time_ms,104.011,30,74.011
48,F,,dwell_time_ms,80.0472,30,50.047200000000004
49,H,F,flight_time_ms,104.0577,100,4.057699999999997
50,B,H,flight_time_ms,103.9556,100,3.955600000000004
51,H,,dwell_time_ms,111.6468,30,81.6468
52,U,B,flight_time_ms,95.7322,100,-4.267799999999994
53,B,,dwell_time_ms,111.9224,30,81.9224
54,R,U,flight_time_ms,104.3388,100,4.338800000000006
55,U,,dwell_time_ms,112.2885,30,82.2885
56,G,R,flight_time_ms,95.9154,100,-4.084599999999995
57,R,,dwell_time_ms,111.8628,30,81.8628
58,E,G,flight_time_ms,104.1012,100,4.101200000000006
59,G,,dwell_time_ms,119.9587,30,89.9587
60,E,,dwell_time_ms,95.8462,30,65.8462
61,N,E,flight_time_ms,96.802,100,-3.1979999999999933
62,N,,dwell_time_ms,55.1157,30,25.115699999999997
63,L,N,flight_time_ms,103.0325,100,3.032499999999999
64,L,,dwell_time_ms,48.0623,30,18.0623
65,A,L,flight_time_ms,96.0931,100,-3.906899999999993
66,A,,dwell_time_ms,47.9389,30,17.938899999999997
67,N,A,flight_time_ms,103.922,100,3.921999999999997
68,N,,dwell_time_ms,47.9962,30,17.9962
69,D,N,flight_time_ms,96.0144,100,-3.985600000000005
70,F,D,flight_time_ms,104.0232,100,4.023200000000003
71,D,,dwell_time_ms,112.019,30,82.019
72,F,,dwell_time_ms,71.987,30,41.986999999999995
73,H,F,flight_time_ms,95.9835,100,-4.0164999999999935
74,H,,dwell_time_ms,96.0849,30,66.0849
75,B,H,flight_time_ms,103.9732,100,3.9732000000000056
76,U,B,flight_time_ms,96.1349,100,-3.865099999999998
77,B,,dwell_time_ms,111.8054,30,81.8054
78,R,U,flight_time_ms,95.9931,100,-4.006900000000002
79,U,,dwell_time_ms,103.9109,30,73.9109
80,G,R,flight_time_ms,103.9011,100,3.9010999999999996
81,R,,dwell_time_ms,111.9317,30,81.9317
82,G,,dwell_time_ms,104.0174,30,74.0174
83,E,G,flight_time_ms,104.7691,100,4.769099999999995
84,E,,dwell_time_ms,95.2199,30,65.2199
85,N,E,flight_time_ms,95.958,100,-4.042000000000002
86,N,,dwell_time_ms,55.2608,30,25.260800000000003
87,L,N,flight_time_ms,103.2961,100,3.2960999999999956
88,L,,dwell_time_ms,47.9572,30,17.9572
89,A,L,flight_time_ms,95.9604,100,-4.039599999999993
90,A,,dwell_time_ms,48.0594,30,18.059399999999997
91,N,A,flight_time_ms,104.1105,100,4.110500000000002
92,N,,dwell_time_ms,47.9601,30,17.960099999999997
93,D,N,flight_time_ms,95.9515,100,-4.048500000000004
94,F,D,flight_time_ms,103.9887,100,3.9886999999999944
95,D,,dwell_time_ms,112.019,30,82.019
96,F,,dwell_time_ms,63.9863,30,33.9863
97,H,F,flight_time_ms,95.7717,100,-4.228300000000004
98,H,,dwell_time_ms,104.1801,30,74.1801
99,B,H,flight_time_ms,104.8749,100,4.874899999999997
100,U,B,flight_time_ms,95.0347,100,-4.965299999999999
101,B,,dwell_time_ms,111.1536,30,81.1536
102,U,,dwell_time_ms,104.358,30,74.358
103,R,U,flight_time_ms,105.4796,100,5.479600000000005
104,G,R,flight_time_ms,94.5789,100,-5.421099999999996
105,R,,dwell_time_ms,110.867,30,80.867
106,E,G,flight_time_ms,103.9615,100,3.961500000000001
107,G,,dwell_time_ms,111.903,30,81.903
108,E,,dwell_time_ms,95.9076,30,65.9076
109,N,E,flight_time_ms,96.2493,100,-3.750699999999995
110,N,,dwell_time_ms,55.6895,30,25.689500000000002
111,L,N,flight_time_ms,103.6465,100,3.646500000000003
112,L,,dwell_time_ms,55.8592,30,25.8592
113,A,L,flight_time_ms,95.883,100,-4.117000000000004
114,A,,dwell_time_ms,40.0148,30,10.014800000000001
115,N,A,flight_time_ms,104.3788,100,4.378799999999998
