feature,char,count,expected_ms,mean_ms,median_ms,std_ms,deviation_mean,deviation_std,deviation_p5,deviation_p95,min_ms,max_ms
dwell_time_ms,F,1004,30,73.674,72.023,4.505,43.674,4.505,34.028,50.061,63.616,96.328
dwell_time_ms,H,1004,30,102.876,103.962,6.725,72.876,6.725,65.837,82.056,55.931,120.14
dwell_time_ms,B,1003,30,118.319,119.197,4.41,88.319,4.41,81.069,97.574,103.755,128.291
dwell_time_ms,U,1003,30,108.552,111.78,5.01,78.552,5.01,73.651,82.221,88.008,120.358
dwell_time_ms,R,1003,30,116.147,119.547,4.488,86.147,4.488,81.145,90.195,102.98,128.113
dwell_time_ms,G,1003,30,107.799,111.656,5.522,77.799,5.522,66.049,82.237,88.199,127.99
dwell_time_ms,E,1003,30,103.377,103.937,6.142,73.377,6.142,65.194,82.079,86.962,120.248
dwell_time_ms,N,2006,30,57.981,56.027,6.374,27.981,6.374,17.944,34.223,39.757,72.221
dwell_time_ms,L,1003,30,57.137,56.008,4.326,27.137,4.326,18.005,34.045,47.706,64.379
dwell_time_ms,A,1003,30,45.056,47.931,4.481,15.056,4.481,9.838,18.266,39.446,56.258
dwell_time_ms,N,2006,30,57.981,56.027,6.374,27.981,6.374,17.944,34.223,39.757,72.221
dwell_time_ms,D,1003,30,109.484,111.884,4.176,79.484,4.176,73.769,82.24,95.92,120.282
flight_time_ms,F,1003,100,98.462,96.036,4.152,-1.538,4.152,-4.245,4.113,87.71,104.783
flight_time_ms,H,1004,100,99.64,96.196,4.107,-0.36,4.107,-4.202,4.139,87.589,104.389
flight_time_ms,B,1003,100,101.377,103.968,3.993,1.377,3.993,-4.04,5.042,95.548,113.077
flight_time_ms,U,1003,100,98.517,96.04,4.359,-1.483,4.359,-5.138,4.042,79.979,104.46
flight_time_ms,R,1003,100,100.553,103.88,4.003,0.553,4.003,-4.172,4.63,95.578,105.48
flight_time_ms,G,1003,100,99.909,102.872,4.058,-0.091,4.058,-4.507,4.173,86.98,104.436
flight_time_ms,E,1003,100,101.379,103.958,4.486,1.379,4.486,-4.135,5.083,95.608,119.796
flight_time_ms,N,2006,100,-819.733,97.076,41186.527,-919.733,41186.527,-4.914,4.713,-1844578.44,112.206
flight_time_ms,L,1003,100,99.212,96.165,4.502,-0.788,4.502,-5.148,4.079,79.986,104.361
flight_time_ms,A,1003,100,99.524,96.161,4.042,-0.476,4.042,-4.177,4.179,87.766,104.382
flight_time_ms,N,2006,100,-819.733,97.076,41186.527,-919.733,41186.527,-4.914,4.713,-1844578.44,112.206
flight_time_ms,D,1003,100,101.766,103.969,4.384,1.766,4.384,-4.072,4.349,95.641,112.302
