seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,valid,t_latency_ms,t_latency_ns_raw,t_latency_ns_drift
0,0,0,F,11,20071247000,816656373007,3260709,True,3.260709,796585126007,3766206
1,0,1,H,13,20171248000,816754114507,1003302,True,1.003302,796582866507,1508799
2,0,2,B,4,20271248000,816856096007,2986896,True,2.986896,796584848007,3492393
3,0,3,U,15,20371249000,816951984807,-1123209,True,-1.123209,796580735807,-617712
4,0,4,R,14,20471250000,817056255507,3148584,True,3.148584,796585005507,3654081
5,0,5,G,10,20571251000,817151967007,-1138821,True,-1.138821,796580716007,-633324
6,0,6,E,12,20671252000,817257171507,4066771,True,4.066771,796585919507,4572268
7,0,7,N,1,20771253000,817352480807,-622834,True,-0.622834,796581227807,-117337
7,0,7,N,1,20771253000,817352480807,-622834,True,-0.622834,796581227807,-117337
8,0,8,L,2,20871254000,817448174307,-4928240,True,-4.92824,796576920307,-4422743
9,0,9,A,0,20971255000,817551967707,-1133746,True,-1.133746,796580712707,-628249
10,0,10,N,1,21071256000,817648327407,-4772952,True,-4.772952,796577071407,-4267455
10,0,10,N,1,21071256000,817648327407,-4772952,True,-4.772952,796577071407,-4267455
11,0,11,D,5,21171257000,817752352807,-746458,True,-0.746458,796581095807,-240961
12,1,0,F,11,21271380000,817848181407,-5038765,True,-5.038765,796576801407,-4533268
13,1,1,H,13,21371381000,817951990607,-1228471,True,-1.228471,796580609607,-722974
14,1,2,B,4,21471382000,818048319807,-4898177,True,-4.898177,796576937807,-4392680
15,1,3,U,15,21571383000,818152309907,-906983,True,-0.906983,796580926907,-401486
16,1,4,R,14,21671383000,818247961607,-5253189,True,-5.253189,796576578607,-4747692
17,1,5,G,10,21771385000,818352101407,-1113296,True,-1.113296,796580716407,-607799
18,1,6,E,12,21871386000,818457067507,3853897,True,3.853897,796585681507,4359394
19,1,7,N,1,21971387000,818551893407,-1319108,True,-1.319108,796580506407,-813611
19,1,7,N,1,21971387000,818551893407,-1319108,True,-1.319108,796580506407,-813611
20,1,8,L,2,22071389000,818647973607,-5238814,True,-5.238814,796576584607,-4733317
21,1,9,A,0,22171389000,818752003107,-1207220,True,-1.20722,796580614107,-701723
22,1,10,N,1,22271390000,818848121207,-5088027,True,-5.088027,796576731207,-4582530
22,1,10,N,1,22271390000,818848121207,-5088027,True,-5.088027,796576731207,-4582530
23,1,11,D,5,22371391000,818952232607,-975533,True,-0.975533,796580841607,-470036
24,2,0,F,11,22471393000,819048375707,-4832339,True,-4.832339,796576982707,-4326842
25,2,1,H,13,22571395000,819152401507,-806445,True,-0.806445,796581006507,-300948
26,2,2,B,4,22671396000,819248563607,-4643251,True,-4.643251,796577167607,-4137754
27,2,3,U,15,22771398000,819352114907,-1091858,True,-1.091858,796580716907,-586361
28,2,4,R,14,22871398000,819448547207,-4657464,True,-4.657464,796577149207,-4151967
29,2,5,G,10,22971399000,819552353307,-850270,True,-0.85027,796580954307,-344773
30,2,6,E,12,23071400000,819656373207,3170723,True,3.170723,796584973207,3676220
31,2,7,N,1,23171401000,819754058307,856917,True,0.856917,796582657307,1362414
31,2,7,N,1,23171401000,819754058307,856917,True,0.856917,796582657307,1362414
32,2,8,L,2,23271402000,819856340607,3140311,True,3.140311,796584938607,3645808
33,2,9,A,0,23371403000,819952150507,-1048695,True,-1.048695,796580747507,-543198
34,2,10,N,1,23471404000,820056194607,2996498,True,2.996498,796584790607,3501995
34,2,10,N,1,23471404000,820056194607,2996498,True,2.996498,796584790607,3501995
35,2,11,D,5,23571405000,820152131107,-1065907,True,-1.065907,796580726107,-560410
36,3,0,F,11,23671405000,820256239407,3044486,True,3.044486,796584834407,3549983
37,3,1,H,13,23771406000,820351995607,-1198219,True,-1.198219,796580589607,-692722
38,3,2,B,4,23871406000,820456505207,3313473,True,3.313473,796585099207,3818970
39,3,3,U,15,23971408000,820552329507,-862132,True,-0.862132,796580921507,-356635
40,3,4,R,14,24071409000,820656127907,2937361,True,2.937361,796584718907,3442858
41,3,5,G,10,24171410000,820752453207,-736244,True,-0.736244,796581043207,-230747
42,3,6,E,12,24271411000,820856235407,3047049,True,3.047049,796584824407,3552546
43,3,7,N,1,24371412000,820960456207,7268942,True,7.268942,796589044207,7774439
43,3,7,N,1,24371412000,820960456207,7268942,True,7.268942,796589044207,7774439
44,3,8,L,2,24471414000,821048388807,-4798363,True,-4.798363,796576974807,-4292866
45,3,9,A,0,24571414000,821152254507,-930569,True,-0.930569,796580840507,-425072
46,3,10,N,1,24671415000,821256477607,3293624,True,3.293624,796585062607,3799121
46,3,10,N,1,24671415000,821256477607,3293624,True,3.293624,796585062607,3799121
47,3,11,D,5,24771416000,821352529307,-653581,True,-0.653581,796581113307,-148084
48,4,0,F,11,24871417000,821456181007,2999212,True,2.999212,796584764007,3504709
49,4,1,H,13,24971419000,821552466507,-715194,True,-0.715194,796581047507,-209697
50,4,2,B,4,25071420000,821658248807,5068199,True,5.068199,796586828807,5573696
51,4,3,U,15,25171421000,821752506707,-672806,True,-0.672806,796581085707,-167309
52,4,4,R,14,25271422000,821848961807,-4216612,True,-4.216612,796577539807,-3711115
53,4,5,G,10,25371423000,821952254507,-922818,True,-0.922818,796580831507,-417321
54,4,6,E,12,25471424000,822057642107,4465874,True,4.465874,796586218107,4971371
55,4,7,N,1,25571425000,822155407807,2232668,True,2.232668,796583982807,2738165
55,4,7,N,1,25571425000,822155407807,2232668,True,2.232668,796583982807,2738165
56,4,8,L,2,25671425000,822248242007,-4931037,True,-4.931037,796576817007,-4425540
57,4,9,A,0,25771426000,822351739107,-1432843,True,-1.432843,796580313107,-927346
58,4,10,N,1,25871427000,822449080007,-4090849,True,-4.090849,796577653007,-3585352
58,4,10,N,1,25871427000,822449080007,-4090849,True,-4.090849,796577653007,-3585352
59,4,11,D,5,25971427000,822552047307,-1121456,True,-1.121456,796580620307,-615959
60,5,0,F,11,26071428000,822648324407,-4843262,True,-4.843262,796576896407,-4337765
61,5,1,H,13,26171429000,822752064307,-1102268,True,-1.102268,796580635307,-596771
62,5,2,B,4,26271437000,822848527307,-4645174,True,-4.645174,796577090307,-4139677
63,5,3,U,15,26371437000,822952409907,-760480,True,-0.76048,796580972907,-254983
64,5,4,R,14,26471438000,823048029007,-5140286,True,-5.140286,796576591007,-4634789
65,5,5,G,10,26571439000,823152450107,-718093,True,-0.718093,796581011107,-212596
66,5,6,E,12,26671440000,823251173007,-1994099,True,-1.994099,796579733007,-1488602
67,5,7,N,1,26771441000,823357866407,4700394,True,4.700394,796586425407,5205891
67,5,7,N,1,26771441000,823357866407,4700394,True,4.700394,796586425407,5205891
68,5,8,L,2,26871442000,823448528907,-4636011,True,-4.636011,796577086907,-4130514
69,5,9,A,0,26971443000,823552428907,-734917,True,-0.734917,796580985907,-229420
70,5,10,N,1,27071445000,823648235907,-4927824,True,-4.927824,796576790907,-4422327
70,5,10,N,1,27071445000,823648235907,-4927824,True,-4.927824,796576790907,-4422327
71,5,11,D,5,27171446000,823752600707,-561930,True,-0.56193,796581154707,-56433
72,6,0,F,11,27271447000,823848793207,-4368336,True,-4.368336,796577346207,-3862839
73,6,1,H,13,27371447000,823952931907,-227543,True,-0.227543,796581484907,277954
74,6,2,B,4,27471448000,824056735307,3576951,True,3.576951,796585287307,4082448
75,6,3,U,15,27571449000,824152714107,-443156,True,-0.443156,796581265107,62341
76,6,4,R,14,27671450000,824256292507,3136338,True,3.136338,796584842507,3641835
77,6,5,G,10,27771451000,824352983607,-171468,True,-0.171468,796581532607,334029
78,6,6,E,12,27871451000,824457388207,4235226,True,4.235226,796585937207,4740723
79,6,7,N,1,27971451000,824557833607,4682720,True,4.68272,796586382607,5188217
79,6,7,N,1,27971451000,824557833607,4682720,True,4.68272,796586382607,5188217
80,6,8,L,2,28071452000,824656878507,3728713,True,3.728713,796585426507,4234210
81,6,9,A,0,28171452000,824753084407,-63293,True,-0.063293,796581632407,442204
82,6,10,N,1,28271454000,824856518207,3370601,True,3.370601,796585064207,3876098
82,6,10,N,1,28271454000,824856518207,3370601,True,3.370601,796585064207,3876098
83,6,11,D,5,28371455000,824952986007,-160505,True,-0.160505,796581531007,344992
84,7,0,F,11,28471457000,825058177307,5030889,True,5.030889,796586720307,5536386
85,7,1,H,13,28571457000,825152043507,-1100816,True,-1.100816,796580586507,-595319
86,7,2,B,4,28671459000,825256870207,3725976,True,3.725976,796585411207,4231473
87,7,3,U,15,28771460000,825351988307,-1154829,True,-1.154829,796580528307,-649332
88,7,4,R,14,28871461000,825457008707,3866664,True,3.866664,796585547707,4372161
89,7,5,G,10,28971462000,825552785507,-355442,True,-0.355442,796581323507,150055
90,7,6,E,12,29071463000,825656185407,3045552,True,3.045552,796584722407,3551049
91,7,7,N,1,29171464000,825753552807,414045,True,0.414045,796582088807,919542
91,7,7,N,1,29171464000,825753552807,414045,True,0.414045,796582088807,919542
92,7,8,L,2,29271465000,825848268507,-4869160,True,-4.86916,796576803507,-4363663
93,7,9,A,0,29371467000,825952779207,-358367,True,-0.358367,796581312207,147130
94,7,10,N,1,29471468000,826048807107,-4329372,True,-4.329372,796577339107,-3823875
94,7,10,N,1,29471468000,826048807107,-4329372,True,-4.329372,796577339107,-3823875
95,7,11,D,5,29571469000,826153141007,5621,True,0.005621,796581672007,511118
96,8,0,F,11,29671470000,826248504007,-4630285,True,-4.630285,796577034007,-4124788
97,8,1,H,13,29771471000,826353493807,360608,True,0.360608,796582022807,866105
98,8,2,B,4,29871472000,826448009007,-5123097,True,-5.123097,796576537007,-4617600
99,8,3,U,15,29971472000,826553062207,-67804,True,-0.067804,796581590207,437693
100,8,4,R,14,30071472000,826648858707,-4269209,True,-4.269209,796577386707,-3763712
101,8,5,G,10,30171473000,826752806307,-320516,True,-0.320516,796581333307,184981
102,8,6,E,12,30271474000,826863910807,10785077,True,10.785077,796592436807,11290574
103,8,7,N,1,30371475000,826954045507,920871,True,0.920871,796582570507,1426368
103,8,7,N,1,30371475000,826954045507,920871,True,0.920871,796582570507,1426368
104,8,8,L,2,30471477000,827049172307,-3952234,True,-3.952234,796577695307,-3446737
105,8,9,A,0,30571478000,827152620307,-503141,True,-0.503141,796581142307,2356
106,8,10,N,1,30671479000,827249181407,-3940946,True,-3.940946,796577702407,-3435449
106,8,10,N,1,30671479000,827249181407,-3940946,True,-3.940946,796577702407,-3435449
107,8,11,D,5,30771481000,827352703107,-419154,True,-0.419154,796581222107,86343
108,9,0,F,11,30871482000,827448939507,-4181659,True,-4.181659,796577457507,-3676162
109,9,1,H,13,30971484000,827552619907,-501166,True,-0.501166,796581135907,4331
110,9,2,B,4,31071486000,827649228907,-3892071,True,-3.892071,796577742907,-3386574
111,9,3,U,15,31171488000,827752915107,-205778,True,-0.205778,796581427107,299719
112,9,4,R,14,31271490000,827848733407,-4387384,True,-4.387384,796577243407,-3881887
113,9,5,G,10,31371491000,827952335407,-784290,True,-0.78429,796580844407,-278793
114,9,6,E,12,31471492000,828048663307,-4455296,True,-4.455296,796577171307,-3949799
115,9,7,N,1,31571492000,828152392507,-724002,True,-0.724002,796580900507,-218505
115,9,7,N,1,31571492000,828152392507,-724002,True,-0.724002,796580900507,-218505
116,9,8,L,2,31671493000,828249128507,-3986908,True,-3.986908,796577635507,-3481411
117,9,9,A,0,31771494000,828352819507,-294815,True,-0.294815,796581325507,210682
118,9,10,N,1,31871495000,828460586707,7473478,True,7.473478,796589091707,7978975
118,9,10,N,1,31871495000,828460586707,7473478,True,7.473478,796589091707,7978975
119,9,11,D,5,31971496000,828552436907,-675227,True,-0.675227,796580940907,-169730
120,10,0,F,11,32071496000,828657565107,4455066,True,4.455066,796586069107,4960563
121,10,1,H,13,32171497000,828752215407,-893539,True,-0.893539,796580718407,-388042
122,10,2,B,4,32271498000,828857589307,4481454,True,4.481454,796586091307,4986951
123,10,3,U,15,32371498000,828953667807,562047,True,0.562047,796582169807,1067544
124,10,4,R,14,32471500000,829057094107,3988441,True,3.988441,796585594107,4493938
125,10,5,G,10,32571501000,829152205607,-898964,True,-0.898964,796580704607,-393467
126,10,6,E,12,32671502000,829257473207,4369729,True,4.369729,796585971207,4875226
127,10,7,N,1,32771504000,829360315007,7211623,True,7.211623,796588811007,7717120
127,10,7,N,1,32771504000,829360315007,7211623,True,7.211623,796588811007,7717120
128,10,8,L,2,32871504000,829456795007,3693716,True,3.693716,796585291007,4199213
129,10,9,A,0,32971506000,829552799507,-301690,True,-0.30169,796581293507,203807
130,10,10,N,1,33071507000,829657088107,3988004,True,3.988004,796585581107,4493501
130,10,10,N,1,33071507000,829657088107,3988004,True,3.988004,796585581107,4493501
131,10,11,D,5,33171509000,829752715107,-384902,True,-0.384902,796581206107,120595
132,11,0,F,11,33271510000,829855831307,2732392,True,2.732392,796584321307,3237889
133,11,1,H,13,33371511000,829952422907,-674914,True,-0.674914,796580911907,-169417
134,11,2,B,4,33471512000,830058010507,4913779,True,4.913779,796586498507,5419276
135,11,3,U,15,33571512000,830152912407,-182227,True,-0.182227,796581400407,323270
136,11,4,R,14,33671513000,830248115007,-4978532,True,-4.978532,796576602007,-4473035
137,11,5,G,10,33771514000,830352684707,-407739,True,-0.407739,796581170707,97758
138,11,6,E,12,33871515000,830457933507,4842155,True,4.842155,796586418507,5347652
139,11,7,N,1,33971516000,830555617007,2526748,True,2.526748,796584101007,3032245
139,11,7,N,1,33971516000,830555617007,2526748,True,2.526748,796584101007,3032245
140,11,8,L,2,34071516000,830648634707,-4453457,True,-4.453457,796577118707,-3947960
141,11,9,A,0,34171517000,830752104207,-982863,True,-0.982863,796580587207,-477366
142,11,10,N,1,34271517000,830848137807,-4947169,True,-4.947169,796576620807,-4441672
142,11,10,N,1,34271517000,830848137807,-4947169,True,-4.947169,796576620807,-4441672
143,11,11,D,5,34371518000,830952314807,-769075,True,-0.769075,796580796807,-263578
144,12,0,F,11,34471519000,831048520007,-4562782,True,-4.562782,796577001007,-4057285
145,12,1,H,13,34571520000,831152566407,-515288,True,-0.515288,796581046407,-9791
146,12,2,B,4,34671521000,831249216307,-3864294,True,-3.864294,796577695307,-3358797
147,12,3,U,15,34771521000,831352574007,-504501,True,-0.504501,796581053007,996
148,12,4,R,14,34871522000,831448769907,-4307506,True,-4.307506,796577247907,-3802009
149,12,5,G,10,34971523000,831552017907,-1058413,True,-1.058413,796580494907,-552916
150,12,6,E,12,35071524000,831649779707,-3295519,True,-3.295519,796578255707,-2790022
151,12,7,N,1,35171525000,831753186207,112074,True,0.112074,796581661207,617571
151,12,7,N,1,35171525000,831753186207,112074,True,0.112074,796581661207,617571
152,12,8,L,2,35271526000,831848549107,-4523931,True,-4.523931,796577023107,-4018434
153,12,9,A,0,35371528000,831951816607,-1256337,True,-1.256337,796580288607,-750840
154,12,10,N,1,35471529000,832048488607,-4583243,True,-4.583243,796576959607,-4077746
154,12,10,N,1,35471529000,832048488607,-4583243,True,-4.583243,796576959607,-4077746
155,12,11,D,5,35571530000,832152525707,-545050,True,-0.54505,796580995707,-39553
156,13,0,F,11,35671531000,832248639807,-4429856,True,-4.429856,796577108807,-3924359
157,13,1,H,13,35771533000,832352948507,-121063,True,-0.121063,796581415507,384434
158,13,2,B,4,35871534000,832448565807,-4502668,True,-4.502668,796577031807,-3997171
159,13,3,U,15,35971534000,832552524007,-542374,True,-0.542374,796580990007,-36877
160,13,4,R,14,36071535000,832656104807,3039518,True,3.039518,796584569807,3545015
161,13,5,G,10,36171536000,832752269707,-794487,True,-0.794487,796580733707,-288990
162,13,6,E,12,36271538000,832860025007,6960906,True,6.960906,796588487007,7466403
163,13,7,N,1,36371539000,832954413607,1350600,True,1.3506,796582874607,1856097
163,13,7,N,1,36371539000,832954413607,1350600,True,1.3506,796582874607,1856097
164,13,8,L,2,36471540000,833056835507,3773594,True,3.773594,796585295507,4279091
165,13,9,A,0,36571540000,833152628007,-431813,True,-0.431813,796581088007,73684
166,13,10,N,1,36671542000,833256048507,2988781,True,2.988781,796584506507,3494278
166,13,10,N,1,36671542000,833256048507,2988781,True,2.988781,796584506507,3494278
167,13,11,D,5,36771542000,833352667107,-390525,True,-0.390525,796581125107,114972
168,14,0,F,11,36871543000,833457289807,4233269,True,4.233269,796585746807,4738766
169,14,1,H,13,36971544000,833553036807,-18637,True,-0.018637,796581492807,486860
170,14,2,B,4,37071545000,833655850107,2795756,True,2.795756,796584305107,3301253
171,14,3,U,15,37171546000,833753721207,667950,True,0.66795,796582175207,1173447
172,14,4,R,14,37271547000,833856744707,3692544,True,3.692544,796585197707,4198041
173,14,5,G,10,37371548000,833955581407,2530338,True,2.530338,796584033407,3035835
174,14,6,E,12,37471549000,834059081007,6031032,True,6.031032,796587532007,6536529
175,14,7,N,1,37571550000,834161002907,7954026,True,7.954026,796589452907,8459523
175,14,7,N,1,37571550000,834161002907,7954026,True,7.954026,796589452907,8459523
176,14,8,L,2,37671550000,834248786407,-4260380,True,-4.26038,796577236407,-3754883
177,14,9,A,0,37771552000,834352035607,-1011086,True,-1.011086,796580483607,-505589
178,14,10,N,1,37871554000,834448811007,-4235592,True,-4.235592,796577257007,-3730095
178,14,10,N,1,37871554000,834448811007,-4235592,True,-4.235592,796577257007,-3730095
179,14,11,D,5,37971555000,834555676907,2631401,True,2.631401,796584121907,3136898
180,15,0,F,11,38071556000,834648695607,-4348804,True,-4.348804,796577139607,-3843307
181,15,1,H,13,38171557000,834753008907,-34412,True,-0.034412,796581451907,471085
182,15,2,B,4,38271558000,834849343307,-3698917,True,-3.698917,796577785307,-3193420
183,15,3,U,15,38371558000,834952384107,-656023,True,-0.656023,796580826107,-150526
184,15,4,R,14,38471559000,835048710707,-4328329,True,-4.328329,796577151707,-3822832
185,15,5,G,10,38571560000,835152047707,-990235,True,-0.990235,796580487707,-484738
186,15,6,E,12,38671560000,835257162207,4126357,True,4.126357,796585602207,4631854
