seq,cycle,pos,char,t0_us,t0_expected_us,delta_us
0,0,0,F,20071201,20071201,0
1,0,1,H,20171203,20171201,2
2,0,2,B,20271205,20271201,4
3,0,3,U,20371208,20371201,7
4,0,4,R,20471209,20471201,8
5,0,5,G,20571211,20571201,10
6,0,6,E,20671213,20671201,12
7,0,7,N,20771214,20771201,13
8,0,8,L,20871215,20871201,14
9,0,9,A,20971217,20971201,16
10,0,10,N,21071219,21071201,18
11,0,11,D,21171220,21171201,19
12,1,0,F,21271319,21271319,0
13,1,1,H,21371320,21371319,1
14,1,2,B,21471323,21471319,4
15,1,3,U,21571325,21571319,6
16,1,4,R,21671325,21671319,6
17,1,5,G,21771328,21771319,9
18,1,6,E,21871329,21871319,10
19,1,7,N,21971331,21971319,12
20,1,8,L,22071333,22071319,14
21,1,9,A,22171334,22171319,15
22,1,10,N,22271336,22271319,17
23,1,11,D,22371336,22371319,17
24,2,0,F,22471352,22471352,0
25,2,1,H,22571353,22571352,1
26,2,2,B,22671354,22671352,2
27,2,3,U,22771356,22771352,4
28,2,4,R,22871358,22871352,6
29,2,5,G,22971359,22971352,7
30,2,6,E,23071361,23071352,9
31,2,7,N,23171363,23171352,11
32,2,8,L,23271364,23271352,12
33,2,9,A,23371366,23371352,14
34,2,10,N,23471369,23471352,17
35,2,11,D,23571371,23571352,19
36,3,0,F,23671373,23671373,0
37,3,1,H,23771374,23771373,1
38,3,2,B,23871376,23871373,3
39,3,3,U,23971377,23971373,4
40,3,4,R,24071379,24071373,6
41,3,5,G,24171381,24171373,8
42,3,6,E,24271384,24271373,11
43,3,7,N,24371385,24371373,12
44,3,8,L,24471387,24471373,14
45,3,9,A,24571388,24571373,15
46,3,10,N,24671389,24671373,16
47,3,11,D,24771392,24771373,19
48,4,0,F,24871394,24871394,0
49,4,1,H,24971397,24971394,3
50,4,2,B,25071399,25071394,5
51,4,3,U,25171400,25171394,6
52,4,4,R,25271402,25271394,8
53,4,5,G,25371404,25371394,10
54,4,6,E,25471405,25471394,11
55,4,7,N,25571408,25571394,14
56,4,8,L,25671409,25671394,15
57,4,9,A,25771410,25771394,16
58,4,10,N,25871413,25871394,19
59,4,11,D,25971414,25971394,20
60,5,0,F,26071416,26071416,0
61,5,1,H,26171417,26171416,1
62,5,2,B,26271419,26271416,3
63,5,3,U,26371421,26371416,5
64,5,4,R,26471422,26471416,6
65,5,5,G,26571424,26571416,8
66,5,6,E,26671426,26671416,10
67,5,7,N,26771426,26771416,10
68,5,8,L,26871428,26871416,12
69,5,9,A,26971429,26971416,13
70,5,10,N,27071430,27071416,14
71,5,11,D,27171432,27171416,16
72,6,0,F,27271435,27271435,0
73,6,1,H,27371436,27371435,1
74,6,2,B,27471438,27471435,3
75,6,3,U,27571439,27571435,4
76,6,4,R,27671441,27671435,6
77,6,5,G,27771444,27771435,9
78,6,6,E,27871445,27871435,10
79,6,7,N,27971446,27971435,11
80,6,8,L,28071448,28071435,13
81,6,9,A,28171450,28171435,15
82,6,10,N,28271453,28271435,18
83,6,11,D,28371456,28371435,21
84,7,0,F,28471458,28471458,0
85,7,1,H,28571460,28571458,2
86,7,2,B,28671462,28671458,4
87,7,3,U,28771463,28771458,5
88,7,4,R,28871465,28871458,7
89,7,5,G,28971467,28971458,9
90,7,6,E,29071469,29071458,11
91,7,7,N,29171470,29171458,12
92,7,8,L,29271472,29271458,14
93,7,9,A,29371473,29371458,15
94,7,10,N,29471473,29471458,15
95,7,11,D,29571475,29571458,17
96,8,0,F,29671476,29671476,0
97,8,1,H,29771478,29771476,2
98,8,2,B,29871479,29871476,3
99,8,3,U,29971481,29971476,5
100,8,4,R,30071483,30071476,7
101,8,5,G,30171485,30171476,9
102,8,6,E,30271488,30271476,12
103,8,7,N,30371490,30371476,14
104,8,8,L,30471493,30471476,17
105,8,9,A,30571495,30571476,19
106,8,10,N,30671497,30671476,21
107,8,11,D,30771500,30771476,24
108,9,0,F,30871502,30871502,0
109,9,1,H,30971503,30971502,1
110,9,2,B,31071504,31071502,2
111,9,3,U,31171505,31171502,3
112,9,4,R,31271507,31271502,5
113,9,5,G,31371509,31371502,7
114,9,6,E,31471512,31471502,10
115,9,7,N,31571513,31571502,11
116,9,8,L,31671515,31671502,13
117,9,9,A,31771516,31771502,14
118,9,10,N,31871518,31871502,16
119,9,11,D,31971520,31971502,18
120,10,0,F,32071523,32071523,0
121,10,1,H,32171526,32171523,3
122,10,2,B,32271528,32271523,5
123,10,3,U,32371529,32371523,6
124,10,4,R,32471530,32471523,7
125,10,5,G,32571531,32571523,8
126,10,6,E,32671532,32671523,9
127,10,7,N,32771535,32771523,12
128,10,8,L,32871537,32871523,14
129,10,9,A,32971539,32971523,16
130,10,10,N,33071540,33071523,17
131,10,11,D,33171541,33171523,18
132,11,0,F,33271543,33271543,0
133,11,1,H,33371545,33371543,2
134,11,2,B,33471547,33471543,4
135,11,3,U,33571549,33571543,6
136,11,4,R,33671552,33671543,9
137,11,5,G,33771555,33771543,12
138,11,6,E,33871558,33871543,15
139,11,7,N,33971559,33971543,16
140,11,8,L,34071561,34071543,18
141,11,9,A,34171563,34171543,20
142,11,10,N,34271565,34271543,22
143,11,11,D,34371566,34371543,23
144,12,0,F,34471568,34471568,0
145,12,1,H,34571570,34571568,2
146,12,2,B,34671572,34671568,4
147,12,3,U,34771573,34771568,5
148,12,4,R,34871574,34871568,6
149,12,5,G,34971577,34971568,9
150,12,6,E,35071580,35071568,12
151,12,7,N,35171582,35171568,14
152,12,8,L,35271584,35271568,16
153,12,9,A,35371586,35371568,18
154,12,10,N,35471588,35471568,20
155,12,11,D,35571591,35571568,23
156,13,0,F,35671594,35671594,0
157,13,1,H,35771595,35771594,1
158,13,2,B,35871597,35871594,3
159,13,3,U,35971599,35971594,5
