seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,valid,t_latency_ms,t_latency_ns_raw,t_latency_ns_drift
0,0,0,F,11,20071201000,1392023917432,-2660118,True,-2.660118,1371952716432,-2048879
1,0,1,H,13,20171203000,1392130099332,3522016,True,3.522016,1371958896332,4133255
2,0,2,B,4,20271205000,1392226814432,237351,True,0.237351,1371955609432,848590
3,0,3,U,15,20371208000,1392327973932,1396087,True,1.396087,1371956765932,2007326
4,0,4,R,14,20471209000,1392423179832,-3396777,True,-3.396777,1371951970832,-2785538
5,0,5,G,10,20571211000,1392527679932,1103557,True,1.103557,1371956468932,1714796
6,0,6,E,12,20671213000,1392632129932,5553793,True,5.553793,1371960916932,6165032
7,0,7,N,1,20771214000,1392727061932,487028,True,0.487028,1371955847932,1098267
7,0,7,N,1,20771214000,1392727061932,487028,True,0.487028,1371955847932,1098267
8,0,8,L,2,20871215000,1392826951432,377763,True,0.377763,1371955736432,989002
9,0,9,A,0,20971217000,1392920519232,-6054200,True,-6.0542,1371949302232,-5442961
10,0,10,N,1,21071219000,1393023894232,-2678965,True,-2.678965,1371952675232,-2067726
10,0,10,N,1,21071219000,1393023894232,-2678965,True,-2.678965,1371952675232,-2067726
11,0,11,D,5,21171220000,1393128684432,2112469,True,2.112469,1371957464432,2723708
12,1,0,F,11,21271319000,1393223853732,-2814994,True,-2.814994,1371952534732,-2203755
13,1,1,H,13,21371320000,1393320384132,-6283359,True,-6.283359,1371949064132,-5672120
14,1,2,B,4,21471323000,1393425226732,-1441523,True,-1.441523,1371953903732,-830284
15,1,3,U,15,21571325000,1393529021932,2353911,True,2.353911,1371957696932,2965150
16,1,4,R,14,21671325000,1393624146532,-2519253,True,-2.519253,1371952821532,-1908014
17,1,5,G,10,21771328000,1393727880332,1213782,True,1.213782,1371956552332,1825021
18,1,6,E,12,21871329000,1393823581832,-3083482,True,-3.083482,1371952252832,-2472243
19,1,7,N,1,21971331000,1393929245832,2580752,True,2.580752,1371957914832,3191991
19,1,7,N,1,21971331000,1393929245832,2580752,True,2.580752,1371957914832,3191991
20,1,8,L,2,22071333000,1394024250332,-2414511,True,-2.414511,1371952917332,-1803272
