row,serial_seq,serial_char,keylog_key
0,0,F,EINGABE
1,1,H,F
2,2,B,H
3,3,U,B
4,4,R,U
5,5,G,R
6,6,E,G
7,7,N,E
8,8,L,N
9,9,A,L
10,10,N,A
11,11,D,N
12,12,F,D
13,13,H,F
14,14,B,H
15,15,U,B
16,16,R,U
17,17,G,R
18,18,E,G
19,19,N,E
20,20,L,N
21,21,A,L
22,22,N,A
23,23,D,N
24,24,F,D
25,25,H,F
26,26,B,H
27,27,U,B
28,28,R,U
29,29,G,R
30,30,E,G
31,31,N,E
32,32,L,N
33,33,A,L
34,34,N,A
35,35,D,N
36,36,F,D
37,37,H,F
38,38,B,H
39,39,U,B
40,40,R,U
41,41,G,R
42,42,E,G
43,43,N,E
44,44,L,N
45,45,A,L
46,46,N,A
47,47,D,N
48,48,F,D
49,49,H,F
50,50,B,H
51,51,U,B
52,52,R,U
53,53,G,R
54,54,E,G
55,55,N,E
56,56,L,N
57,57,A,L
58,58,N,A
59,59,D,N
60,60,F,D
61,61,H,F
62,62,B,H
63,63,U,B
64,64,R,U
65,65,G,R
66,66,E,G
67,67,N,E
68,68,L,N
69,69,A,L
70,70,N,A
71,71,D,N
72,72,F,D
73,73,H,F
74,74,B,H
75,75,U,B
76,76,R,U
77,77,G,R
78,78,E,G
79,79,N,E
80,80,L,N
81,81,A,L
82,82,N,A
83,83,D,N
84,84,F,D
85,85,H,F
86,86,B,H
87,87,U,B
88,88,R,U
89,89,G,R
90,90,E,G
91,91,N,E
92,92,L,N
93,93,A,L
94,94,N,A
95,95,D,N
96,96,F,D
97,97,H,F
98,98,B,H
99,99,U,B
100,100,R,U
101,101,G,R
102,102,E,G
103,103,N,E
104,104,L,N
105,105,A,L
106,106,N,A
107,107,D,N
108,108,F,D
109,109,H,F
110,110,B,H
111,111,U,B
112,112,R,U
113,113,G,R
114,114,E,G
115,115,N,E
116,116,L,N
117,117,A,L
118,118,N,A
119,119,D,N
120,120,F,D
121,121,H,F
122,122,B,H
123,123,U,B
124,124,R,U
125,125,G,R
126,126,E,G
127,127,N,E
128,128,L,N
129,129,A,L
130,130,N,A
131,131,D,N
132,132,F,D
133,133,H,F
134,134,B,H
135,135,U,B
136,136,R,U
137,137,G,R
138,138,E,G
139,139,N,E
140,140,L,N
141,141,A,L
142,142,N,A
143,143,D,N
144,144,F,D
145,145,H,F
146,146,B,H
147,147,U,B
148,148,R,U
149,149,G,R
150,150,E,G
151,151,N,E
152,152,L,N
153,153,A,L
154,154,N,A
155,155,D,N
156,156,F,D
157,157,H,F
158,158,B,H
159,159,U,B
160,160,R,U
161,161,G,R
162,162,E,G
163,163,N,E
164,164,L,N
165,165,A,L
166,166,N,A
167,167,D,N
168,168,F,D
169,169,H,F
170,170,B,H
171,171,U,B
172,172,R,U
173,173,G,R
174,174,E,G
175,175,N,E
176,176,L,N
177,177,A,L
178,178,N,A
179,179,D,N
180,180,F,D
181,181,H,F
182,182,B,H
183,183,U,B
184,184,R,U
185,185,G,R
186,186,E,G
187,187,N,E
188,188,L,N
189,189,A,L
190,190,N,A
191,191,D,N
192,192,F,D
193,193,H,F
194,194,B,H
195,195,U,B
196,196,R,U
197,197,G,R
198,198,E,G
199,199,N,E
200,200,L,N
201,201,A,L
202,202,N,A
203,203,D,N
204,204,F,D
205,205,H,F
206,206,B,H
207,207,U,B
208,208,R,U
209,209,G,R
210,210,E,G
211,211,N,E
212,212,L,N
213,213,A,L
214,214,N,A
215,215,D,N
216,216,F,D
217,217,H,F
218,218,B,H
219,219,U,B
220,220,R,U
221,221,G,R
222,222,E,G
223,223,N,E
224,224,L,N
225,225,A,L
226,226,N,A
227,227,D,N
228,228,F,D
229,229,H,F
230,230,B,H
231,231,U,B
232,232,R,U
233,233,G,R
234,234,E,G
235,235,N,E
236,236,L,N
237,237,A,L
238,238,N,A
239,239,D,N
240,240,F,D
241,241,H,F
242,242,B,H
243,243,U,B
244,244,R,U
245,245,G,R
246,246,E,G
247,247,N,E
248,248,L,N
249,249,A,L
250,250,N,A
251,251,D,N
252,252,F,D
253,253,H,F
254,254,B,H
255,255,U,B
256,256,R,U
257,257,G,R
258,258,E,G
259,259,N,E
260,260,L,N
261,261,A,L
262,262,N,A
263,263,D,N
264,264,F,D
265,265,H,F
266,266,B,H
267,267,U,B
268,268,R,U
269,269,G,R
270,270,E,G
271,271,N,E
272,272,L,N
273,273,A,L
274,274,N,A
275,275,D,N
276,276,F,D
277,277,H,F
278,278,B,H
279,279,U,B
280,280,R,U
281,281,G,R
282,282,E,G
283,283,N,E
284,284,L,N
285,285,A,L
286,286,N,A
287,287,D,N
288,288,F,D
289,289,H,F
290,290,B,H
291,291,U,B
292,292,R,U
293,293,G,R
294,294,E,G
295,295,N,E
296,296,L,N
297,297,A,L
298,298,N,A
299,299,D,N
300,300,F,D
301,301,H,F
302,302,B,H
303,303,U,B
304,304,R,U
305,305,G,R
306,306,E,G
307,307,N,E
308,308,L,N
309,309,A,L
310,310,N,A
311,311,D,N
312,312,F,D
313,313,H,F
314,314,B,H
315,315,U,B
316,316,R,U
317,317,G,R
318,318,E,G
319,319,N,E
320,320,L,N
321,321,A,L
322,322,N,A
323,323,D,N
324,324,F,D
325,325,H,F
326,326,B,H
327,327,U,B
328,328,R,U
329,329,G,R
330,330,E,G
331,331,N,E
332,332,L,N
333,333,A,L
334,334,N,A
335,335,D,N
336,336,F,D
337,337,H,F
338,338,B,H
339,339,U,B
340,340,R,U
341,341,G,R
342,342,E,G
343,343,N,E
344,344,L,N
345,345,A,L
346,346,N,A
347,347,D,N
348,348,F,D
349,349,H,F
350,350,B,H
351,351,U,B
352,352,R,U
353,353,G,R
354,354,E,G
355,355,N,E
356,356,L,N
357,357,A,L
358,358,N,A
359,359,D,N
360,360,F,D
361,361,H,F
362,362,B,H
363,363,U,B
364,364,R,U
365,365,G,R
366,366,E,G
367,367,N,E
368,368,L,N
369,369,A,L
370,370,N,A
371,371,D,N
372,372,F,D
373,373,H,F
374,374,B,H
375,375,U,B
376,376,R,U
377,377,G,R
378,378,E,G
379,379,N,E
380,380,L,N
381,381,A,L
382,382,N,A
383,383,D,N
384,384,F,D
385,385,H,F
386,386,B,H
387,387,U,B
388,388,R,U
389,389,G,R
390,390,E,G
391,391,N,E
392,392,L,N
393,393,A,L
394,394,N,A
395,395,D,N
396,396,F,D
397,397,H,F
398,398,B,H
399,399,U,B
400,400,R,U
401,401,G,R
402,402,E,G
403,403,N,E
404,404,L,N
405,405,A,L
406,406,N,A
407,407,D,N
408,408,F,D
409,409,H,F
410,410,B,H
411,411,U,B
412,412,R,U
413,413,G,R
414,414,E,G
415,415,N,E
416,416,L,N
417,417,A,L
418,418,N,A
419,419,D,N
420,420,F,D
421,421,H,F
422,422,B,H
423,423,U,B
424,424,R,U
425,425,G,R
426,426,E,G
427,427,N,E
428,428,L,N
429,429,A,L
430,430,N,A
431,431,D,N
432,432,F,D
433,433,H,F
434,434,B,H
435,435,U,B
436,436,R,U
437,437,G,R
438,438,E,G
439,439,N,E
440,440,L,N
441,441,A,L
442,442,N,A
443,443,D,N
444,444,F,D
445,445,H,F
446,446,B,H
447,447,U,B
448,448,R,U
449,449,G,R
450,450,E,G
451,451,N,E
452,452,L,N
453,453,A,L
454,454,N,A
455,455,D,N
456,456,F,D
457,457,H,F
458,458,B,H
459,459,U,B
460,460,R,U
461,461,G,R
462,462,E,G
463,463,N,E
464,464,L,N
465,465,A,L
466,466,N,A
467,467,D,N
468,468,F,D
469,469,H,F
470,470,B,H
471,471,U,B
472,472,R,U
473,473,G,R
474,474,E,G
475,475,N,E
476,476,L,N
477,477,A,L
478,478,N,A
479,479,D,N
480,480,F,D
481,481,H,F
482,482,B,H
483,483,U,B
484,484,R,U
485,485,G,R
486,486,E,G
487,487,N,E
488,488,L,N
489,489,A,L
490,490,N,A
491,491,D,N
492,492,F,D
493,493,H,F
494,494,B,H
495,495,U,B
496,496,R,U
497,497,G,R
498,498,E,G
499,499,N,E
500,500,L,N
501,501,A,L
502,502,N,A
503,503,D,N
504,504,F,D
505,505,H,F
506,506,B,H
507,507,U,B
508,508,R,U
509,509,G,R
510,510,E,G
511,511,N,E
512,512,L,N
513,513,A,L
514,514,N,A
515,515,D,N
516,516,F,D
517,517,H,F
518,518,B,H
519,519,U,B
520,520,R,U
521,521,G,R
522,522,E,G
523,523,N,E
524,524,L,N
525,525,A,L
526,526,N,A
527,527,D,N
528,528,F,D
529,529,H,F
530,530,B,H
531,531,U,B
532,532,R,U
533,533,G,R
534,534,E,G
535,535,N,E
536,536,L,N
537,537,A,L
538,538,N,A
539,539,D,N
540,540,F,D
541,541,H,F
542,542,B,H
543,543,U,B
544,544,R,U
545,545,G,R
546,546,E,G
547,547,N,E
548,548,L,N
549,549,A,L
550,550,N,A
551,551,D,N
552,552,F,D
553,553,H,F
554,554,B,H
555,555,U,B
556,556,R,U
557,557,G,R
558,558,E,G
559,559,N,E
560,560,L,N
561,561,A,L
562,562,N,A
563,563,D,N
564,564,F,D
565,565,H,F
566,566,B,H
567,567,U,B
568,568,R,U
569,569,G,R
570,570,E,G
571,571,N,E
572,572,L,N
573,573,A,L
574,574,N,A
575,575,D,N
576,576,F,D
577,577,H,F
578,578,B,H
579,579,U,B
580,580,R,U
581,581,G,R
582,582,E,G
583,583,N,E
584,584,L,N
585,585,A,L
586,586,N,A
587,587,D,N
588,588,F,D
589,589,H,F
590,590,B,H
591,591,U,B
592,592,R,U
593,593,G,R
594,594,E,G
595,595,N,E
596,596,L,N
597,597,A,L
598,598,N,A
599,599,D,N
600,600,F,D
601,601,H,F
602,602,B,H
603,603,U,B
604,604,R,U
605,605,G,R
606,606,E,G
607,607,N,E
608,608,L,N
609,609,A,L
610,610,N,A
611,611,D,N
612,612,F,D
613,613,H,F
614,614,B,H
615,615,U,B
616,616,R,U
617,617,G,R
618,618,E,G
619,619,N,E
620,620,L,N
621,621,A,L
622,622,N,A
623,623,D,N
624,624,F,D
625,625,H,F
626,626,B,H
627,627,U,B
628,628,R,U
629,629,G,R
630,630,E,G
631,631,N,E
632,632,L,N
633,633,A,L
634,634,N,A
635,635,D,N
636,636,F,D
637,637,H,F
638,638,B,H
639,639,U,B
640,640,R,U
641,641,G,R
642,642,E,G
643,643,N,E
644,644,L,N
645,645,A,L
646,646,N,A
647,647,D,N
648,648,F,D
649,649,H,F
650,650,B,H
651,651,U,B
652,652,R,U
653,653,G,R
654,654,E,G
655,655,N,E
656,656,L,N
657,657,A,L
658,658,N,A
659,659,D,N
660,660,F,D
661,661,H,F
662,662,B,H
663,663,U,B
664,664,R,U
665,665,G,R
666,666,E,G
667,667,N,E
668,668,L,N
669,669,A,L
670,670,N,A
671,671,D,N
672,672,F,D
673,673,H,F
674,674,B,H
675,675,U,B
676,676,R,U
677,677,G,R
678,678,E,G
679,679,N,E
680,680,L,N
681,681,A,L
682,682,N,A
683,683,D,N
684,684,F,D
685,685,H,F
686,686,B,H
687,687,U,B
688,688,R,U
689,689,G,R
690,690,E,G
691,691,N,E
692,692,L,N
693,693,A,L
694,694,N,A
695,695,D,N
696,696,F,D
697,697,H,F
698,698,B,H
699,699,U,B
700,700,R,U
701,701,G,R
702,702,E,G
703,703,N,E
704,704,L,N
705,705,A,L
706,706,N,A
