char,count,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p95_ms
F,58,-3.1847,-3.5011,1.519,-5.2792,2.5412,-4.5887,-0.4181
H,59,-1.5857,-0.1028,3.3963,-8.5078,3.1042,-8.1787,1.9684
B,58,-3.3267,-3.3178,1.3224,-5.646,-0.1466,-5.0482,-1.1139
U,58,-1.4069,0.0058,4.0963,-9.0356,9.0363,-8.7483,2.6133
R,57,-3.5942,-3.7276,0.9869,-5.155,-1.2726,-4.9923,-1.7841
G,59,-1.1798,0.0774,3.7756,-9.1442,9.678,-8.751,2.2244
E,59,-0.8119,-3.1904,4.5224,-5.2192,11.7898,-5.0668,8.8272
N,234,-1.0799,-1.7086,3.7792,-9.0194,7.7672,-6.7919,6.6524
L,58,-3.2687,-3.7079,1.7379,-5.5169,2.8612,-5.051,0.5469
A,59,-3.081,-0.9678,3.9366,-8.974,3.796,-8.6993,1.2915
N,234,-1.0799,-1.7086,3.7792,-9.0194,7.7672,-6.7919,6.6524
D,58,0.5675,0.3742,1.113,-1.4048,3.7058,-1.1476,2.3328
