device,vkey,scancode,e0,e1,edge,t1_ns,keyname
131139,13,28,0,0,UP,798991683907,"EINGABE"
131139,13,28,0,0,DOWN,801102109307,"EINGABE"
131139,13,28,0,0,UP,801236191607,"EINGABE"
293540923,70,33,0,0,DOWN,816656373007,"F"
293540923,70,33,0,0,UP,816752559007,"F"
293540923,72,35,0,0,DOWN,816754114507,"H"
293540923,66,48,0,0,DOWN,816856096007,"B"
293540923,72,35,0,0,UP,816872133907,"H"
293540923,85,22,0,0,DOWN,816951984807,"U"
293540923,66,48,0,0,UP,816975821307,"B"
293540923,82,19,0,0,DOWN,817056255507,"R"
293540923,85,22,0,0,UP,817064328407,"U"
293540923,71,34,0,0,DOWN,817151967007,"G"
293540923,82,19,0,0,UP,817175862607,"R"
293540923,71,34,0,0,UP,817256171807,"G"
293540923,69,18,0,0,DOWN,817257171507,"E"
293540923,69,18,0,0,UP,817351802807,"E"
293540923,78,49,0,0,DOWN,817352480807,"N"
293540923,78,49,0,0,UP,817416159907,"N"
293540923,76,38,0,0,DOWN,817448174307,"L"
293540923,76,38,0,0,UP,817512566507,"L"
293540923,65,30,0,0,DOWN,817551967707,"A"
293540923,65,30,0,0,UP,817591975307,"A"
293540923,78,49,0,0,DOWN,817648327407,"N"
293540923,78,49,0,0,UP,817712353507,"N"
293540923,68,32,0,0,DOWN,817752352807,"D"
293540923,70,33,0,0,DOWN,817848181407,"F"
293540923,68,32,0,0,UP,817864560507,"D"
293540923,70,33,0,0,UP,817928464007,"F"
293540923,72,35,0,0,DOWN,817951990607,"H"
293540923,66,48,0,0,DOWN,818048319807,"B"
293540923,72,35,0,0,UP,818064326907,"H"
293540923,85,22,0,0,DOWN,818152309907,"U"
293540923,66,48,0,0,UP,818168166807,"B"
293540923,82,19,0,0,DOWN,818247961607,"R"
293540923,85,22,0,0,UP,818264226407,"U"
293540923,71,34,0,0,DOWN,818352101407,"G"
293540923,82,19,0,0,UP,818369393907,"R"
293540923,69,18,0,0,DOWN,818457067507,"E"
293540923,71,34,0,0,UP,818464124207,"G"
293540923,69,18,0,0,UP,818544445607,"E"
293540923,78,49,0,0,DOWN,818551893407,"N"
293540923,78,49,0,0,UP,818616435607,"N"
293540923,76,38,0,0,DOWN,818647973607,"L"
293540923,76,38,0,0,UP,818712145407,"L"
293540923,65,30,0,0,DOWN,818752003107,"A"
293540923,65,30,0,0,UP,818791783707,"A"
293540923,78,49,0,0,DOWN,818848121207,"N"
293540923,78,49,0,0,UP,818920049207,"N"
293540923,68,32,0,0,DOWN,818952232607,"D"
293540923,70,33,0,0,DOWN,819048375707,"F"
293540923,68,32,0,0,UP,819064292707,"D"
293540923,70,33,0,0,UP,819128411307,"F"
293540923,72,35,0,0,DOWN,819152401507,"H"
293540923,66,48,0,0,DOWN,819248563607,"B"
293540923,72,35,0,0,UP,819265768707,"H"
293540923,85,22,0,0,DOWN,819352114907,"U"
293540923,66,48,0,0,UP,819368305307,"B"
293540923,82,19,0,0,DOWN,819448547207,"R"
293540923,85,22,0,0,UP,819464599907,"U"
293540923,71,34,0,0,DOWN,819552353307,"G"
293540923,82,19,0,0,UP,819576684607,"R"
293540923,69,18,0,0,DOWN,819656373207,"E"
293540923,71,34,0,0,UP,819664603307,"G"
293540923,69,18,0,0,UP,819751981407,"E"
293540923,78,49,0,0,DOWN,819754058307,"N"
293540923,78,49,0,0,UP,819816101407,"N"
293540923,76,38,0,0,DOWN,819856340607,"L"
293540923,76,38,0,0,UP,819912110407,"L"
293540923,65,30,0,0,DOWN,819952150507,"A"
293540923,65,30,0,0,UP,819992148507,"A"
293540923,78,49,0,0,DOWN,820056194607,"N"
293540923,78,49,0,0,UP,820120223407,"N"
293540923,68,32,0,0,DOWN,820152131107,"D"
293540923,70,33,0,0,DOWN,820256239407,"F"
293540923,68,32,0,0,UP,820264318307,"D"
293540923,70,33,0,0,UP,820319952807,"F"
293540923,72,35,0,0,DOWN,820351995607,"H"
293540923,66,48,0,0,DOWN,820456505207,"B"
293540923,72,35,0,0,UP,820464491607,"H"
293540923,85,22,0,0,DOWN,820552329507,"U"
293540923,66,48,0,0,UP,820576193707,"B"
293540923,82,19,0,0,DOWN,820656127907,"R"
293540923,85,22,0,0,UP,820664611307,"U"
293540923,71,34,0,0,DOWN,820752453207,"G"
293540923,82,19,0,0,UP,820776664807,"R"
293540923,69,18,0,0,DOWN,820856235407,"E"
293540923,71,34,0,0,UP,820864117107,"G"
293540923,69,18,0,0,UP,820952203407,"E"
293540923,78,49,0,0,DOWN,820960456207,"N"
293540923,78,49,0,0,UP,821016255107,"N"
293540923,76,38,0,0,DOWN,821048388807,"L"
293540923,76,38,0,0,UP,821112125307,"L"
293540923,65,30,0,0,DOWN,821152254507,"A"
293540923,65,30,0,0,UP,821192335707,"A"
293540923,78,49,0,0,DOWN,821256477607,"N"
293540923,78,49,0,0,UP,821312337607,"N"
293540923,68,32,0,0,DOWN,821352529307,"D"
293540923,70,33,0,0,DOWN,821456181007,"F"
293540923,68,32,0,0,UP,821463798307,"D"
293540923,70,33,0,0,UP,821528091207,"F"
293540923,72,35,0,0,DOWN,821552466507,"H"
293540923,72,35,0,0,UP,821656062907,"H"
293540923,66,48,0,0,DOWN,821658248807,"B"
293540923,85,22,0,0,DOWN,821752506707,"U"
