seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,valid,t_latency_ms,t_latency_ns_raw,t_latency_ns_drift
218,18,2,B,4,41871590000,838462182707,9183859,True,9.183859,796590592707,9689356
332,27,8,L,2,53271709000,849895360007,42480854,True,42.480854,796623651007,42986351
339,28,3,U,15,53971716000,850569643907,16772411,True,16.772411,796597927907,17277908
341,28,5,G,10,54171717000,850769320107,16451798,True,16.451798,796597603107,16957295
342,28,6,E,12,54271718000,850864856507,11989292,True,11.989292,796593138507,12494789
343,28,7,N,1,54371719000,850963671707,10805586,True,10.805586,796591952707,11311083
343,28,7,N,1,54371719000,850963671707,10805586,True,10.805586,796591952707,11311083
347,28,11,D,5,54771723000,851362737307,9875561,True,9.875561,796591014307,10381058
407,33,11,D,5,60771781000,857363991107,11196990,True,11.19699,796592210107,11702487
422,35,2,B,4,62271795000,858863412407,10635697,True,10.635697,796591617407,11141194
448,37,4,R,14,64871824000,861483791707,31040436,True,31.040436,796611967707,31545933
453,37,9,A,0,65371828000,861963849207,11104405,True,11.104405,796592021207,11609902
456,38,0,F,11,65671832000,862262111007,9368487,True,9.368487,796590279007,9873984
457,38,1,H,13,65771834000,862361923207,9180780,True,9.18078,796590089207,9686277
578,48,2,B,4,77871949000,874461624107,9020031,True,9.020031,796589675107,9525528
930,77,6,E,12,113072302000,909665131807,12911753,True,12.911753,796592829807,13417250
1290,107,6,E,12,149072671000,945665307507,13472225,True,13.472225,796592636507,13977722
1550,129,2,B,4,175072931000,971665965207,14414316,True,14.414316,796593034207,14919813
2899,241,7,N,1,309974267000,1106560336507,10274167,True,10.274167,796586069507,10779664
2899,241,7,N,1,309974267000,1106560336507,10274167,True,10.274167,796586069507,10779664
3079,256,7,N,1,327974445000,1124560562807,10699353,True,10.699353,796586117807,11204850
3079,256,7,N,1,327974445000,1124560562807,10699353,True,10.699353,796586117807,11204850
3822,318,6,E,12,402275188000,1198860362407,11311655,True,11.311655,796585174407,11817152
3849,320,9,A,0,404975214000,1201556846807,7826588,True,7.826588,796581632807,8332085
5779,481,7,N,1,597977130000,1394558121507,11226344,True,11.226344,796580991507,11731841
5779,481,7,N,1,597977130000,1394558121507,11226344,True,11.226344,796580991507,11731841
6103,508,7,N,1,630377456000,1426958593107,12050339,True,12.050339,796581137107,12555836
6103,508,7,N,1,630377456000,1426958593107,12050339,True,12.050339,796581137107,12555836
6271,522,7,N,1,647177624000,1443758436907,12077899,True,12.077899,796580812907,12583396
6271,522,7,N,1,647177624000,1443758436907,12077899,True,12.077899,796580812907,12583396
6483,540,3,U,15,668377848000,1464963760207,17621087,True,17.621087,796585912207,18126584
6931,577,7,N,1,713178298000,1509758076007,12424914,True,12.424914,796579778007,12930411
6931,577,7,N,1,713178298000,1509758076007,12424914,True,12.424914,796579778007,12930411
8657,721,5,G,10,885780007000,1682376324007,32577833,True,32.577833,796596317007,33083330
8803,733,7,N,1,900380155000,1696957199307,13610829,True,13.610829,796577044307,14116326
8803,733,7,N,1,900380155000,1696957199307,13610829,True,13.610829,796577044307,14116326
8851,737,7,N,1,905180202000,1701753917307,10382332,True,10.382332,796573715307,10887829
8851,737,7,N,1,905180202000,1701753917307,10382332,True,10.382332,796573715307,10887829
9283,773,7,N,1,948380611000,1744956838007,13798558,True,13.798558,796576227007,14304055
9283,773,7,N,1,948380611000,1744956838007,13798558,True,13.798558,796576227007,14304055
10195,849,7,N,1,1039581525000,1836156087507,14043614,True,14.043614,796574562507,14549111
10195,849,7,N,1,1039581525000,1836156087507,14043614,True,14.043614,796574562507,14549111
