seq,cycle,pos,char,gpio,t0_us,host_rx_ns
0,0,0,F,11,20071201,1392068399832
1,0,1,H,13,20171203,1392179066632
2,0,2,B,4,20271205,1392274181632
3,0,3,U,15,20371208,1392369484732
4,0,4,R,14,20471209,1392480490032
5,0,5,G,10,20571211,1392575086132
6,0,6,E,12,20671213,1392669983632
7,0,7,N,1,20771214,1392781208832
8,0,8,L,2,20871215,1392876029232
9,0,9,A,0,20971217,1392970431032
10,0,10,N,1,21071219,1393081720332
11,0,11,D,5,21171220,1393191508032
12,1,0,F,11,21271319,1393271251332
13,1,1,H,13,21371320,1393383424132
14,1,2,B,4,21471323,1393478892332
15,1,3,U,15,21571325,1393574116132
16,1,4,R,14,21671325,1393669432332
17,1,5,G,10,21771328,1393780357632
18,1,6,E,12,21871329,1393874035732
19,1,7,N,1,21971331,1393969309332
20,1,8,L,2,22071333,1394079639932
21,1,9,A,0,22171334,1394174273232
22,1,10,N,1,22271336,1394268796132
23,1,11,D,5,22371336,1394378335532
24,2,0,F,11,22471352,1394473744332
25,2,1,H,13,22571353,1394568648732
26,2,2,B,4,22671354,1394678583732
27,2,3,U,15,22771356,1394773520732
28,2,4,R,14,22871358,1394869437932
29,2,5,G,10,22971359,1394980785132
30,2,6,E,12,23071361,1395075942932
31,2,7,N,1,23171363,1395171273932
32,2,8,L,2,23271364,1395282079232
33,2,9,A,0,23371366,1395377712732
34,2,10,N,1,23471369,1395473002732
35,2,11,D,5,23571371,1395583387232
36,3,0,F,11,23671373,1395677795432
37,3,1,H,13,23771374,1395773260932
38,3,2,B,4,23871376,1395867313932
39,3,3,U,15,23971377,1395977743732
40,3,4,R,14,24071379,1396071407732
41,3,5,G,10,24171381,1396182749432
42,3,6,E,12,24271384,1396277619732
43,3,7,N,1,24371385,1396373093132
44,3,8,L,2,24471387,1396468653132
45,3,9,A,0,24571388,1396579890032
46,3,10,N,1,24671389,1396675620732
47,3,11,D,5,24771392,1396787081732
48,4,0,F,11,24871394,1396881897132
49,4,1,H,13,24971397,1396976890432
50,4,2,B,4,25071399,1397072955032
51,4,3,U,15,25171400,1397168951132
52,4,4,R,14,25271402,1397278859732
53,4,5,G,10,25371404,1397374699532
54,4,6,E,12,25471405,1397469317432
55,4,7,N,1,25571408,1397580364332
56,4,8,L,2,25671409,1397674441532
57,4,9,A,0,25771410,1397769452132
58,4,10,N,1,25871413,1397879638432
59,4,11,D,5,25971414,1397990837332
60,5,0,F,11,26071416,1398070550232
61,5,1,H,13,26171417,1398181548132
62,5,2,B,4,26271419,1398275904432
63,5,3,U,15,26371421,1398370939732
64,5,4,R,14,26471422,1398481361932
65,5,5,G,10,26571424,1398575045432
66,5,6,E,12,26671426,1398670586232
67,5,7,N,1,26771426,1398781835032
68,5,8,L,2,26871428,1398877354332
69,5,9,A,0,26971429,1398971704732
70,5,10,N,1,27071430,1399083350532
71,5,11,D,5,27171432,1399193211232
72,6,0,F,11,27271435,1399272974332
73,6,1,H,13,27371436,1399367509832
74,6,2,B,4,27471438,1399478297132
