char,count,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p95_ms
F,1010,-968010.2927,-1844683.9767,921668.8907,-1844705.6321,5.4393,-1844700.7328,1.1106
H,1010,-968010.8035,-1844687.6841,921669.4346,-1844701.8096,3.0347,-1844700.0268,-1.3161
B,1010,-968009.8421,-1844683.871,921668.7985,-1844705.5616,9.9599,-1844700.3426,1.7898
U,1010,-968010.8467,-1844687.7022,921669.4235,-1844701.7695,0.5444,-1844700.1517,-1.376
R,1010,-968010.3736,-1844684.3929,921668.8332,-1844705.8717,5.0922,-1844700.2533,1.0073
G,1010,-968010.8381,-1844687.7438,921669.4225,-1844701.7985,1.7036,-1844699.8376,-1.3295
E,1010,-968007.4891,-1844683.2856,921668.9168,-1844703.2519,7.1599,-1844696.2252,2.7317
N,4040,-968922.862,-1844683.9868,921280.9396,-1844705.6967,9.2953,-1844699.4406,0.947
L,1010,-968011.5593,-1844684.9032,921668.8292,-1844705.6099,5.7198,-1844702.6387,-0.6863
A,1010,-968010.828,-1844687.6262,921669.4289,-1844701.4752,1.6455,-1844699.8173,-1.3934
N,4040,-968922.862,-1844683.9868,921280.9396,-1844705.6967,9.2953,-1844699.4406,0.947
D,1010,-969836.6505,-1844686.3984,921576.6952,-1844701.7536,34.8861,-1844699.6179,-1.2712
