Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns
85922219,78,49,0,0,DOWN,175418982059
85922219,76,38,0,0,DOWN,175442753859
85922219,78,49,0,0,UP,175458826959
85922219,76,38,0,0,UP,175474925159
85922219,39,77,1,0,DOWN,175475353559
85922219,39,77,1,0,UP,175506924959
85922219,66,48,0,0,DOWN,175507309559
85922219,68,32,0,0,DOWN,175538704059
85922219,66,48,0,0,UP,175546897059
85922219,68,32,0,0,UP,175578888859
85922219,70,33,0,0,DOWN,175595074659
85922219,70,33,0,0,UP,175619509559
85922219,69,18,0,0,DOWN,175627164259
85922219,69,18,0,0,UP,175667108959
85922219,82,19,0,0,DOWN,175684370159
85922219,82,19,0,0,UP,175732237359
85922219,78,49,0,0,DOWN,175778769459
85922219,76,38,0,0,DOWN,175803286159
85922219,78,49,0,0,UP,175820556459
85922219,76,38,0,0,UP,175835731459
85922219,39,77,1,0,DOWN,175837258759
85922219,39,77,1,0,UP,175860014159
85922219,66,48,0,0,DOWN,175866929259
85922219,68,32,0,0,DOWN,175899300459
85922219,66,48,0,0,UP,175915902259
85922219,68,32,0,0,UP,175939433659
85922219,70,33,0,0,DOWN,175956340659
85922219,70,33,0,0,UP,175979656959
85922219,69,18,0,0,DOWN,175987589759
85922219,69,18,0,0,UP,176027653059
85922219,82,19,0,0,DOWN,176052652559
85922219,82,19,0,0,UP,176091038059
85922219,78,49,0,0,DOWN,176139863159
85922219,76,38,0,0,DOWN,176163587259
85922219,78,49,0,0,UP,176171759659
85922219,76,38,0,0,UP,176195257059
85922219,39,77,1,0,DOWN,176196526559
85922219,39,77,1,0,UP,176219802459
85922219,66,48,0,0,DOWN,176227077959
85922219,68,32,0,0,DOWN,176258775659
85922219,66,48,0,0,UP,176267040459
85922219,71,34,0,0,DOWN,176284683859
85922219,68,32,0,0,UP,176299328659
85922219,71,34,0,0,UP,176307607859
85922219,70,33,0,0,DOWN,176316029759
85922219,70,33,0,0,UP,176347373259
85922219,69,18,0,0,DOWN,176356052859
85922219,72,35,0,0,DOWN,176372604059
85922219,69,18,0,0,UP,176387318459
85922219,72,35,0,0,UP,176405455659
85922219,82,19,0,0,DOWN,176407526759
85922219,82,19,0,0,UP,176451199659
85922219,78,49,0,0,DOWN,176491280259
85922219,76,38,0,0,DOWN,176523210459
85922219,78,49,0,0,UP,176530805659
85922219,76,38,0,0,UP,176555926559
85922219,39,77,1,0,DOWN,176557424359
85922219,39,77,1,0,UP,176587539559
85922219,66,48,0,0,DOWN,176589070259
85922219,68,32,0,0,DOWN,176619396859
85922219,66,48,0,0,UP,176644559659
85922219,71,34,0,0,DOWN,176646307359
85922219,68,32,0,0,UP,176659573959
85922219,71,34,0,0,UP,176667309759
85922219,70,33,0,0,DOWN,176675597059
85922219,70,33,0,0,UP,176707287259
85922219,69,18,0,0,DOWN,176708444359
85922219,72,35,0,0,DOWN,176731314059
85922219,69,18,0,0,UP,176747576459
85922219,72,35,0,0,UP,176763509759
85922219,82,19,0,0,DOWN,176772326459
85922219,85,22,0,0,DOWN,176795916959
85922219,82,19,0,0,UP,176811025959
85922219,85,22,0,0,UP,176818992259
85922219,78,49,0,0,DOWN,176850907359
85922219,76,38,0,0,DOWN,176882848659
85922219,78,49,0,0,UP,176891047359
85922219,76,38,0,0,UP,176915063359
85922219,39,77,1,0,DOWN,176915696659
85922219,39,77,1,0,UP,176947164159
85922219,66,48,0,0,DOWN,176948044459
85922219,68,32,0,0,DOWN,176971720259
85922219,66,48,0,0,UP,176995013959
85922219,68,32,0,0,UP,177019166559
85922219,70,33,0,0,DOWN,177035193759
85922219,70,33,0,0,UP,177059315359
