Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns,KeyName
76487407,38,72,1,0,DOWN,185609493188,"NACH-OBEN"
76487407,13,28,0,0,DOWN,185816787288,"EINGABE"
85922219,78,49,0,0,DOWN,188288904488,"N"
85922219,76,38,0,0,DOWN,188323316888,"L"
85922219,39,77,1,0,DOWN,188360861088,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,188400616388,"B"
85922219,68,32,0,0,DOWN,188434373388,"D"
85922219,70,33,0,0,DOWN,188496954888,"F"
85922219,69,18,0,0,DOWN,188536953588,"E"
85922219,82,19,0,0,DOWN,188608647688,"R"
85922219,78,49,0,0,DOWN,188712816488,"N"
85922219,76,38,0,0,DOWN,188745052188,"L"
85922219,39,77,1,0,DOWN,188785041888,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,188825201888,"B"
85922219,68,32,0,0,DOWN,188849100588,"D"
85922219,70,33,0,0,DOWN,188921092088,"F"
85922219,69,18,0,0,DOWN,188953098288,"E"
76487407,13,28,0,0,DOWN,189009186088,"EINGABE"
85922219,82,19,0,0,DOWN,189025815588,"R"
85922219,78,49,0,0,DOWN,189129421788,"N"
85922219,76,38,0,0,DOWN,189161334988,"L"
76487407,13,28,0,0,DOWN,189177455988,"EINGABE"
85922219,39,77,1,0,DOWN,189208732988,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,189232677288,"B"
85922219,68,32,0,0,DOWN,189273060888,"D"
85922219,71,34,0,0,DOWN,189307269588,"G"
76487407,13,28,0,0,DOWN,189312875088,"EINGABE"
85922219,70,33,0,0,DOWN,189337588288,"F"
85922219,69,18,0,0,DOWN,189378899088,"E"
85922219,72,35,0,0,DOWN,189409140088,"H"
85922219,82,19,0,0,DOWN,189449329888,"R"
85922219,85,22,0,0,DOWN,189481619788,"U"
85922219,78,49,0,0,DOWN,189544914488,"N"
85922219,76,38,0,0,DOWN,189585524588,"L"
85922219,39,77,1,0,DOWN,189618083688,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,189657028688,"B"
85922219,68,32,0,0,DOWN,189688863388,"D"
85922219,71,34,0,0,DOWN,189721187788,"G"
85922219,70,33,0,0,DOWN,189761432888,"F"
85922219,69,18,0,0,DOWN,189792817688,"E"
85922219,82,19,0,0,DOWN,189868741088,"R"
85922219,78,49,0,0,DOWN,189969694488,"N"
85922219,76,38,0,0,DOWN,190009574488,"L"
85922219,39,77,1,0,DOWN,190049310088,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,190088849488,"B"
85922219,68,32,0,0,DOWN,190112607388,"D"
85922219,70,33,0,0,DOWN,190176535888,"F"
85922219,69,18,0,0,DOWN,190217122188,"E"
85922219,82,19,0,0,DOWN,190288657088,"R"
85922219,78,49,0,0,DOWN,190393172888,"N"
85922219,76,38,0,0,DOWN,190426354388,"L"
85922219,39,77,1,0,DOWN,190465036988,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,190498991188,"B"
85922219,68,32,0,0,DOWN,190529220988,"D"
