Key,VKey,ScanCode,HostTimestamp_ns
F,70,33,1034623183432
H,72,35,1034737474832
B,66,48,1034950432632
U,85,22,1035172888132
R,82,19,1035311257032
G,71,34,1035488500632
E,69,18,1035618803732
N,78,49,1035765760532
L,76,38,1036225543932
A,65,30,1036369508632
N,78,49,1036558052532
D,68,32,1036674086632
EINGABE,13,28,1038328250632
F,70,33,1038887890632
H,72,35,1038972218532
B,66,48,1039610061232
U,85,22,1039750562332
R,82,19,1039908409432
G,71,34,1040100058232
E,69,18,1040238853332
N,78,49,1040388460832
L,76,38,1040679329332
A,65,30,1040794632932
D,68,32,1040937987332
N,78,49,1040996622332
EINGABE,13,28,1041707872132
F,70,33,1042347525032
H,72,35,1042440162632
B,66,48,1042789688932
U,85,22,1042978855932
R,82,19,1043068270832
G,71,34,1043259993532
E,69,18,1043367467532
N,78,49,1043475041132
L,76,38,1043789884132
A,65,30,1043906531832
N,78,49,1044077617932
D,68,32,1044169866632
EINGABE,13,28,1044393500432
F,70,33,1045343781532
H,72,35,1045436936032
B,66,48,1045876543032
U,85,22,1046023219532
R,82,19,1046193768532
G,71,34,1046404249932
E,69,18,1046535972732
N,78,49,1046645709332
L,76,38,1047115685732
A,65,30,1047241985632
N,78,49,1047384659632
D,68,32,1047499902732
EINGABE,13,28,1047845713832
F,70,33,1048432050932
H,72,35,1048568954132
B,66,48,1049013477032
U,85,22,1049335076732
R,82,19,1049505098732
G,71,34,1049686416032
E,69,18,1049822653032
N,78,49,1049966307432
L,76,38,1050287504732
A,65,30,1050449926432
N,78,49,1050775787432
D,68,32,1050984400332
STRG,17,29,1052093431832
C,67,46,1052135137032
