Pico_us,Host_ns
Heartbeat. GPIO15=0 dropped=0,170435905955
Heartbeat. GPIO15=0 dropped=0,171428360355
Heartbeat. GPIO15=0 dropped=0,172432552455
Heartbeat. GPIO15=0 dropped=0,173428823555
Heartbeat. GPIO15=0 dropped=0,174435574455
Heartbeat. GPIO15=0 dropped=0,175425360755
Heartbeat. GPIO15=0 dropped=0,176429118955
Heartbeat. GPIO15=0 dropped=0,177423239455
Heartbeat. GPIO15=0 dropped=0,178431001155
Heartbeat. GPIO15=0 dropped=0,179421815855
Heartbeat. GPIO15=0 dropped=0,180420594855
Heartbeat. GPIO15=0 dropped=0,181412264055
Heartbeat. GPIO15=0 dropped=0,182426657955
Heartbeat. GPIO15=0 dropped=0,183431132455
Heartbeat. GPIO15=0 dropped=0,184415222255
Heartbeat. GPIO15=0 dropped=0,185426676955
Heartbeat. GPIO15=0 dropped=0,186430237455
Heartbeat. GPIO15=0 dropped=0,187434515255
Heartbeat. GPIO15=0 dropped=0,188426447455
Heartbeat. GPIO15=0 dropped=0,189422946455
Heartbeat. GPIO15=0 dropped=0,190425254255
Heartbeat. GPIO15=0 dropped=0,191428322355
Heartbeat. GPIO15=0 dropped=0,192424230055
Heartbeat. GPIO15=0 dropped=0,193432438955
Heartbeat. GPIO15=0 dropped=0,194430539555
Heartbeat. GPIO15=0 dropped=0,195427168155
Heartbeat. GPIO15=0 dropped=0,196422634455
Heartbeat. GPIO15=0 dropped=0,197432852155
Heartbeat. GPIO15=0 dropped=0,198423318455
Heartbeat. GPIO15=0 dropped=0,199433027155
Heartbeat. GPIO15=0 dropped=0,200428878655
Heartbeat. GPIO15=0 dropped=0,201427706455
Heartbeat. GPIO15=0 dropped=0,202423515655
Heartbeat. GPIO15=0 dropped=0,203433416155
Heartbeat. GPIO15=0 dropped=0,204429608155
Heartbeat. GPIO15=0 dropped=0,205433034555
Heartbeat. GPIO15=0 dropped=0,206432019655
Heartbeat. GPIO15=0 dropped=0,207429846655
Heartbeat. GPIO15=0 dropped=0,208425262955
Heartbeat. GPIO15=0 dropped=0,209421780955
Heartbeat. GPIO15=0 dropped=0,210433876155
Heartbeat. GPIO15=0 dropped=0,211428790755
Heartbeat. GPIO15=0 dropped=0,212419996555
Heartbeat. GPIO15=0 dropped=0,213430500055
Heartbeat. GPIO15=0 dropped=0,214433009855
Heartbeat. GPIO15=0 dropped=0,215428275455
Heartbeat. GPIO15=0 dropped=0,216421405255
Heartbeat. GPIO15=0 dropped=0,217434126155
Heartbeat. GPIO15=0 dropped=0,218428311755
Heartbeat. GPIO15=0 dropped=0,219424692155
Heartbeat. GPIO15=0 dropped=0,220424554855
Heartbeat. GPIO15=0 dropped=0,221418695955
Heartbeat. GPIO15=0 dropped=0,222432433655
Heartbeat. GPIO15=0 dropped=0,223421230555
Heartbeat. GPIO15=0 dropped=0,224433295755
Heartbeat. GPIO15=0 dropped=0,225418991755
Heartbeat. GPIO15=0 dropped=0,226435468255
Heartbeat. GPIO15=0 dropped=0,227427394455
Heartbeat. GPIO15=0 dropped=0,228432818855
Heartbeat. GPIO15=0 dropped=0,229434085055
Heartbeat. GPIO15=0 dropped=0,230430735155
Heartbeat. GPIO15=0 dropped=0,231432092455
Heartbeat. GPIO15=0 dropped=0,232432160655
Heartbeat. GPIO15=0 dropped=0,233430505855
Heartbeat. GPIO15=0 dropped=0,234425433655
Heartbeat. GPIO15=0 dropped=0,235433277655
Heartbeat. GPIO15=0 dropped=0,236427096055
Heartbeat. GPIO15=0 dropped=0,237420277855
Heartbeat. GPIO15=0 dropped=0,238419459055
Heartbeat. GPIO15=0 dropped=0,239430867355
Heartbeat. GPIO15=0 dropped=0,240425880855
Heartbeat. GPIO15=0 dropped=0,241418265655
Heartbeat. GPIO15=0 dropped=0,242430075855
Heartbeat. GPIO15=0 dropped=0,243426034955
Heartbeat. GPIO15=0 dropped=0,244422382855
Heartbeat. GPIO15=0 dropped=0,245423330055
Heartbeat. GPIO15=0 dropped=0,246424018155
Heartbeat. GPIO15=0 dropped=0,247424538955
Heartbeat. GPIO15=0 dropped=0,248426360755
Heartbeat. GPIO15=0 dropped=0,249430769455
Heartbeat. GPIO15=0 dropped=0,250418613255
Heartbeat. GPIO15=0 dropped=0,251419440155
Heartbeat. GPIO15=0 dropped=0,252421692755
Heartbeat. GPIO15=0 dropped=0,253423062955
Heartbeat. GPIO15=0 dropped=0,254426799555
Heartbeat. GPIO15=0 dropped=0,255432466755
Heartbeat. GPIO15=0 dropped=0,256427866455
Heartbeat. GPIO15=0 dropped=0,257429086255
Heartbeat. GPIO15=0 dropped=0,258420083555
Heartbeat. GPIO15=0 dropped=0,259419692955
Heartbeat. GPIO15=0 dropped=0,260429174155
Heartbeat. GPIO15=0 dropped=0,261427623755
Heartbeat. GPIO15=0 dropped=0,262427684955
Heartbeat. GPIO15=0 dropped=0,263428571855
Heartbeat. GPIO15=0 dropped=0,264416386855
Heartbeat. GPIO15=0 dropped=0,265417431355
Heartbeat. GPIO15=0 dropped=0,266429292555
Heartbeat. GPIO15=0 dropped=0,267425421255
Heartbeat. GPIO15=0 dropped=0,268423029855
Heartbeat. GPIO15=0 dropped=0,269421127355
Heartbeat. GPIO15=0 dropped=0,270418057255
Heartbeat. GPIO15=0 dropped=0,271417805055
Heartbeat. GPIO15=0 dropped=0,272428440355
Heartbeat. GPIO15=0 dropped=0,273425596355
Heartbeat. GPIO15=0 dropped=0,274423482755
Heartbeat. GPIO15=0 dropped=0,275424581255
Heartbeat. GPIO15=0 dropped=0,276422723955
Heartbeat. GPIO15=0 dropped=0,277421083555
Heartbeat. GPIO15=0 dropped=0,278419587655
Heartbeat. GPIO15=0 dropped=0,279414523255
Heartbeat. GPIO15=0 dropped=0,280425955055
Heartbeat. GPIO15=0 dropped=0,281427518355
Heartbeat. GPIO15=0 dropped=0,282425019055
Heartbeat. GPIO15=0 dropped=0,283428422355
